mvmt_id,osm_node_id,node_id,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,signal_phase_num,ring,barrier,stage_no,timing_plan_id,green_time_window,green_time,cycle_time,start_green_time,end_green_time,red_time,capacity,v_over_c,mvmt_txt_id,protection,osm_web_address,geometry
335,41573974,54,253,1101,41966652,4347900943,7,2,2,3,0,000111_000126,14,90,71,86,76,286.992125984252,0.3658636962247585,WBL,protected,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262109754582 33.41288278608436, -111.9262953092519 33.4128106384731)"
336,41573974,54,253,1102,41966652,4347900944,8,2,2,4,0,000126_000130,15,90,86,90,75,299.0393700787401,0.3678445415767023,WBR,protected,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262109754582 33.41288278608436, -111.926299150698 33.41295491685275)"
338,41573974,54,1100,1102,4347900943,4347900944,2,1,1,2,0,000012_000111,59,90,12,71,31,3137.905511811024,0.2963760369773708,NBT,protected,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262953092519 33.4128106384731, -111.926299150698 33.41295491685275)"
337,41573974,54,1100,252,4347900943,41966652,2,1,1,2,0,000012_000111,59,90,12,71,31,1045.968503937008,0.1051656905403574,NBR,protected,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262953092519 33.4128106384731, -111.9262109754582 33.41288278608436)"
339,41573974,54,1103,252,4347900944,41966652,5,2,1,1,0,000000_000012,12,90,0,12,78,49.84460171841671,2.1065470759134253,SBL,permissive,http://openstreetmap.org/node/41573974,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262109754582 33.41288278608436)"
340,41573974,54,1103,1101,4347900944,4347900943,6,2,1,2,0,000012_000111,59,90,12,71,31,1045.968503937008,0.2963760369773709,SBT,protected,http://openstreetmap.org/node/41573974,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262953092519 33.4128106384731)"
347,41573980,55,1570,1013,41654675,4347879974,3,1,2,3,0,000112_000124,12,120,72,84,108,102.19623259235966,1.0274351347062274,EBL,permissive,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263028681245 33.41691010875997)"
349,41573980,55,1570,1572,41654675,5646687226,4,1,2,4,0,000124_000200,60,120,84,120,60,790.5000000000001,0.392156862745098,EBT,protected,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9262177277877 33.41683513004448)"
348,41573980,55,1570,1035,41654675,4347879972,4,1,2,4,0,000124_000200,60,120,84,120,60,790.5000000000001,0.1391524351676154,EBR,protected,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263029415787 33.41676579867902)"
351,41573980,55,1573,1035,5646687226,4347879972,7,2,2,3,0,000112_000124,12,120,72,84,108,102.19623259235966,1.0274351347062274,WBL,permissive,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263029415787 33.41676579867902)"
