mvmt_id,timing_phase_id,timing_plan_id,green_time_window,signal_phase_num,min_green,max_green,start_green_time,end_green_time,extension,clearance,walk_time,cycle_time,ped_clearance,mvmt_txt_id,ring,barrier,stage_no,position,capacity,v_over_c,osm_web_address,geometry
335,3,0,000111_000126,7,14,14,71,86,,,76,90,,WBL,2,2,3,,286.99212598425197,0.36586369622475856,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262109754582 33.41288278608436, -111.9262953092519 33.4128106384731)"
336,4,0,000126_000130,8,15,15,86,90,,,75,90,,WBR,2,2,4,,299.03937007874015,0.3678445415767023,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262109754582 33.41288278608436, -111.926299150698 33.41295491685275)"
338,2,0,000012_000111,2,59,59,12,71,,,31,90,,NBT,1,1,2,,3137.905511811024,0.29637603697737086,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262953092519 33.4128106384731, -111.926299150698 33.41295491685275)"
337,2,0,000012_000111,2,59,59,12,71,,,31,90,,NBR,1,1,2,,1045.9685039370079,0.10516569054035743,http://openstreetmap.org/node/41573974,"LINESTRING (-111.9262953092519 33.4128106384731, -111.9262109754582 33.41288278608436)"
339,1,0,000000_000012,5,12,12,0,12,,,78,90,,SBL,2,1,1,,49.844601718416705,2.1065470759134253,http://openstreetmap.org/node/41573974,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262109754582 33.41288278608436)"
340,2,0,000012_000111,6,59,59,12,71,,,31,90,,SBT,2,1,2,,1045.9685039370079,0.2963760369773709,http://openstreetmap.org/node/41573974,"LINESTRING (-111.926299150698 33.41295491685275, -111.9262953092519 33.4128106384731)"
347,3,0,000112_000124,3,12,12,72,84,,,108,120,,EBL,1,2,3,,102.19623259235966,1.0274351347062274,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263028681245 33.41691010875997)"
349,4,0,000124_000200,4,60,60,84,120,,,60,120,,EBT,1,2,4,,790.5000000000001,0.392156862745098,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9262177277877 33.41683513004448)"
348,4,0,000124_000200,4,60,60,84,120,,,60,120,,EBR,1,2,4,,790.5000000000001,0.1391524351676154,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263897366158 33.41683655400024, -111.9263029415787 33.41676579867902)"
351,3,0,000112_000124,7,12,12,72,84,,,108,120,,WBL,2,2,3,,102.19623259235966,1.0274351347062274,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263029415787 33.41676579867902)"
352,4,0,000124_000200,8,60,60,84,120,,,60,120,,WBT,2,2,4,,790.5000000000001,0.392156862745098,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263897366158 33.41683655400024)"
350,4,0,000124_000200,8,60,60,84,120,,,60,120,,WBR,2,2,4,,790.5000000000001,0.1391524351676154,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9262177277877 33.41683513004448, -111.9263028681245 33.41691010875997)"
345,1,0,000000_000012,1,12,12,0,12,,,108,120,,NBL,1,1,1,,61.92809859585631,1.695514675579361,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263029415787 33.41676579867902, -111.9263897366158 33.41683655400024)"
344,2,0,000012_000112,2,60,60,12,72,,,60,120,,NBT,1,1,2,,1581.0000000000002,0.392156862745098,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263029415787 33.41676579867902, -111.9263028681245 33.41691010875997)"
346,2,0,000012_000112,2,60,60,12,72,,,60,120,,NBR,1,1,2,,790.5000000000001,0.1391524351676154,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263029415787 33.41676579867902, -111.9262177277877 33.41683513004448)"
343,1,0,000000_000012,5,12,12,0,12,,,108,120,,SBL,2,1,1,,61.92809859585631,1.695514675579361,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263028681245 33.41691010875997, -111.9262177277877 33.41683513004448)"
341,2,0,000012_000112,6,60,60,12,72,,,60,120,,SBT,2,1,2,,1581.0000000000002,0.392156862745098,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263028681245 33.41691010875997, -111.9263029415787 33.41676579867902)"
342,2,0,000012_000112,6,60,60,12,72,,,60,120,,SBR,2,1,2,,790.5000000000001,0.1391524351676154,http://openstreetmap.org/node/41573980,"LINESTRING (-111.9263028681245 33.41691010875997, -111.9263897366158 33.41683655400024)"
358,3,0,000111_000126,3,14,14,71,86,,,76,90,,EBL,1,2,3,,286.99212598425197,0.36586369622475856,http://openstreetmap.org/node/41573982,"LINESTRING (-111.9263726110033 33.41910372634076, -111.9262968978746 33.41920925058242)"
359,4,0,000126_000130,4,15,15,86,90,,,75,90,,EBR,1,2,4,,299.03937007874015,0.3678445415767023,http://openstreetmap.org/node/41573982,"LINESTRING (-111.9263726110033 33.41910372634076, -111.9263821664201 33.41914197879996)"
354,1,0,000000_000012,1,12,12,0,12,,,78,90,,NBL,1,1,1,,82.57079812780842,1.2716360066845207,http://openstreetmap.org/node/41573982,"LINESTRING (-111.9262970228552 33.41906493834914, -111.9263821664201 33.41914197879996)"
353,2,0,000012_000111,2,59,59,12,71,,,31,90,,NBT,1,1,2,,1045.9685039370079,0.2963760369773709,http://openstreetmap.org/node/41573982,"LINESTRING (-111.9262970228552 33.41906493834914, -111.9262968978746 33.41920925058242)"
355,2,0,000012_000111,6,59,59,12,71,,,31,90,,SBT,2,1,2,,2091.9370078740158,0.2963760369773709,http://openstreetmap.org/node/41573982,"LINESTRING (-111.9262968978746 33.41920925058242, -111.9262970228552 33.41906493834914)"
356,2,0,000012_000111,6,59,59,12,71,,,31,90,,SBR,2,1,2,,1045.9685039370079,0.10516569054035743,http://openstreetmap.org/node/41573982,"LINESTRING (-111.9262968978746 33.41920925058242, -111.9263821664201 33.41914197879996)"
