name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,41459438,,,,,,,-111.9275146,33.4245016,,,
,1,41517309,,,,,,,-111.9262877,33.4312176,,,
,2,41520505,,,,,,,-111.944268,33.4307934,,,
,3,41520506,,,,,,,-111.9442567,33.4295155,,,
,4,41520509,,,,,,,-111.9443252,33.4291446,,,
,5,41520512,,,,,,,-111.9442882,33.4254677,,,
,6,41520515,,,,,,,-111.9443033,33.4243197,,,
,7,41520518,,,,,,,-111.9442993,33.4231771,,,
,8,41520521,traffic_signals,,signal,,,,-111.9442661,33.4218936,,,
,9,41520523,,,,,,,-111.9442498,33.420638,,,
,10,41520525,,,,,,,-111.9442479,33.4203483,,,
,11,41520528,,,,,,,-111.944246,33.4194019,,,
,12,41520531,,,,,,,-111.9442453,33.4189174,,,
,13,41520533,,,,,,,-111.9442439,33.4177833,,,
,14,41520536,,,,,,,-111.944241,33.4168222,,,
,15,41520539,,,,,,,-111.9442403,33.4160678,,,
,16,41520542,,,,,,,-111.9442483,33.4146347,,,
,17,41520578,,,,,,,-111.9442875,33.4146337,,,
,18,41520581,,,,,,,-111.9443138,33.4139026,,,
,19,41520584,,,,,,,-111.9443094,33.4131817,,,
,20,41520587,,,,,,,-111.9443024,33.4110208,,,
,21,41520590,,,,,,,-111.9442963,33.410264,,,
,22,41520593,,,,,,,-111.9442959,33.4095166,,,
,23,41520594,,,,,,,-111.9442945,33.4087687,,,
,24,41520604,,,,,,,-111.9439499,33.4073767,,,
,25,41529691,traffic_signals,,signal,,,,-111.9304264,33.4231268,,,
,26,41529697,,,,,,,-111.9290798,33.4242989,,,
,29,41529742,,,,,,,-111.9392663,33.4243488,,,
,30,41529813,,,,,,,-111.936666,33.4243591,,,
,31,41533533,,,,,,,-111.9412608,33.4219305,,,
,32,41533538,,,,,,,-111.9412354,33.4190569,,,
,33,41533540,,,,,,,-111.94123,33.4176195,,,
,34,41533544,,,,,,,-111.941205,33.416204,,,
,35,41533545,,,,,,,-111.9411894,33.4147443,,,
,36,41546636,,,,,,,-111.9392768,33.408668,,,
,37,41546640,,,,,,,-111.9360118,33.4095058,,,
,38,41546646,,,,,,,-111.9177482,33.4094786,,,
,39,41546647,turning_circle,,,,,,-111.9301254,33.4104444,,,
,40,41546648,,,,,,,-111.926512,33.4104588,,,
,41,41548521,,,,,,,-111.9232523,33.4118914,,,
,42,41563455,,,,,,,-111.94234,33.4136148,,,
,43,41563456,,,,,,,-111.9424188,33.4147283,,,
,44,41563458,,,,,,,-111.9424528,33.4161904,,,
,45,41563460,,,,,,,-111.9424525,33.4176183,,,
,46,41563464,,,,,,,-111.9423945,33.4190482,,,
,47,41563472,,,,,,,-111.942372,33.4205087,,,
,48,41563475,traffic_signals,,signal,,,,-111.9423899,33.4219281,,,
,49,41563500,traffic_signals,,signal,,,,-111.943347,33.4254811,,,
,50,41563515,traffic_signals,,signal,,,,-111.9427719,33.4275569,,,
,51,41563527,,,,,,,-111.942465,33.4284426,,,
,52,41563536,,,,,,,-111.9426248,33.4289759,,,
,53,41570712,,,,,,,-111.9090828,33.4190024,,,
,54,41573974,traffic_signals,,signal,,,,-111.9262973,33.4128826,,,
,55,41573980,traffic_signals,,signal,,,,-111.9263035,33.4168382,,,
,56,41573982,traffic_signals,,signal,,,,-111.9262965,33.4191375,,,
,57,41573985,,,,,,,-111.9262379,33.4209763,,,
,59,41582913,,,,,,,-111.9312568,33.4084598,,,
,60,41582918,traffic_signals,,signal,,,,-111.9311382,33.4075231,,,
,61,41582920,,,,,,,-111.9310728,33.4066298,,,
,62,41586093,turning_circle,,,,,,-111.9108076,33.418129,,,
,63,41586094,,,,,,,-111.910665,33.4174037,,,
,64,41604294,,,,,,,-111.9397324,33.4119109,,,
,65,41604295,,,,,,,-111.9379621,33.4119438,,,
,66,41604297,,,,,,,-111.9365723,33.4119575,,,
