name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
North Scottsdale Road,0,5589756,1,198,1,264.6531246680074,3,56,,primary,3,"LINESTRING (-111.926265729902 33.43121730387805, -111.926261392463 33.43260529517227, -111.9262549317518 33.43288937169297, -111.926248458296 33.43359752474)",auto,1,0,,
North Scottsdale Road,1,5589756,198,1,1,264.6531246680075,3,56,,primary,3,"LINESTRING (-111.9262914880368 33.43359780125299, -111.926297959263 33.432889853889, -111.9263044219032 33.43260568638549, -111.9263087595842 33.43121739840233)",auto,1,0,,
South Farmer Avenue,2,5590090,2,3,1,142.09986632871332,1,,,residential,6,"LINESTRING (-111.9442897721985 33.43079320496152, -111.9442820804128 33.42990295413247, -111.9442787800574 33.4295271544612, -111.9442776527952 33.42951395008962)",auto,1,0,,
South Farmer Avenue,3,5590090,3,2,1,142.09986632871335,1,,,residential,6,"LINESTRING (-111.9442347336222 33.42951652608085, -111.9442357623862 33.42952857674742, -111.9442390523896 33.429903218717, -111.944246743708 33.4307934663204)",auto,1,0,,
South Farmer Avenue,4,5590095,17,18,1,81.57797929323331,1,40,,residential,6,"LINESTRING (-111.9443094242145 33.41463330557857, -111.9443083395379 33.41455786169674, -111.9443104421675 33.41448332478421, -111.9443143047147 33.41445737872304, -111.9443157261714 33.41445409896276, -111.9443270115047 33.41442806004, -111.9443330451343 33.4143996991691, -111.9443330167846 33.4142439106793, -111.9443351055131 33.41390301056117)",auto,1,0,,
South Farmer Avenue,5,5590095,18,17,1,81.57797929323331,1,40,,residential,6,"LINESTRING (-111.9442920847928 33.41390282516826, -111.9442899953114 33.41424382073121, -111.9442900230216 33.41439650859793, -111.9442853104459 33.41441865984939, -111.9442729610446 33.41444715388858, -111.9442722151152 33.41444887498681, -111.9442674838249 33.41448065659208, -111.9442653117918 33.41455765246904, -111.9442664056927 33.41463374055132)",auto,1,0,,
South Farmer Avenue,6,5590095,18,19,1,80.16146292530404,1,40,,residential,6,"LINESTRING (-111.9443351055115 33.41390282491849, -111.944330672095 33.41318124325787)",auto,1,0,,
South Farmer Avenue,7,5590095,19,18,1,80.16146292530404,1,40,,residential,6,"LINESTRING (-111.9442876517335 33.4131814291487, -111.9442920847943 33.41390301081096)",auto,1,0,,
South Farmer Avenue,8,5590095,19,20,1,240.28235846214778,1,40,,residential,6,"LINESTRING (-111.9443306723803 33.41318133345447, -111.9443306451361 33.41303159090848, -111.944328285964 33.41188784563573, -111.9443238261856 33.41102102194669)",auto,1,0,,
South Farmer Avenue,9,5590095,20,19,1,240.2823584621478,1,40,,residential,6,"LINESTRING (-111.9442808067185 33.41102117761353, -111.9442852658297 33.41188795467228, -111.9442876242831 33.41303162485933, -111.9442876514483 33.41318133895208)",auto,1,0,,
South Farmer Avenue,10,5590095,20,21,1,84.15425738838503,1,40,,residential,6,"LINESTRING (-111.9443238260237 33.41102099511589, -111.9443227213444 33.41086132304817, -111.9443224937411 33.41083818484522, -111.9443205299239 33.41063854220496, -111.9443183110709 33.41026425108542)",auto,1,0,,
South Farmer Avenue,11,5590095,21,20,1,84.15425738838505,1,40,,residential,6,"LINESTRING (-111.9442752921081 33.41026443045156, -111.9442775111271 33.41063878070049, -111.9442794750803 33.41083844717275, -111.9442797025851 33.4108615765242, -111.9442808068803 33.41102120444434)",auto,1,0,,
South Farmer Avenue,12,5590095,21,22,1,83.10714685212753,1,40,,residential,6,"LINESTRING (-111.9443183112651 33.41026429423683, -111.9443171682985 33.4098927012203, -111.9443170999373 33.40951659815231)",auto,1,0,,
South Farmer Avenue,13,5590095,22,21,1,83.10714685212753,1,40,,residential,6,"LINESTRING (-111.944274080812 33.40951660364468, -111.9442741489957 33.40989275049805, -111.9442752919138 33.41026438730015)",auto,1,0,,
South Farmer Avenue,14,5590095,22,23,1,83.16286277164508,1,40,,residential,6,"LINESTRING (-111.9443170998663 33.40951655447311, -111.9443159567517 33.4091440593802, -111.9443158885616 33.4087688581923)",auto,1,0,,
South Farmer Avenue,15,5590095,23,22,1,83.16286277164508,1,40,,residential,6,"LINESTRING (-111.9442728698048 33.40876886368414, -111.9442729378179 33.4091441085516, -111.9442740808829 33.40951664732389)",auto,1,0,,
South Farmer Avenue,16,5590095,23,24,1,173.0238214637224,1,40,,residential,6,"LINESTRING (-111.9443158884609 33.40876891619705, -111.9443169147842 33.40848789733383, -111.9443146852806 33.40845247295947, -111.9443098920172 33.40842035234319, -111.9442958971441 33.40839368762385, -111.944277435897 33.40837201808693, -111.9442603838243 33.40835772106723, -111.9442390747506 33.40834300777831, -111.944213466427 33.40833334686412, -111.9442078478497 33.40833202820792, -111.944183664037 33.40832635236666, -111.9441086997696 33.40831738037607, -111.9440777350288 33.40830926910765, -111.9440500038602 33.40829724362744, -111.9440284741594 33.40828311664626, -111.9440088730242 33.40826421721708, -111.9439925808935 33.408245736366, -111.9439811525448 33.40822338097558, -111.943973550334 33.4082018741155, -111.9439716197209 33.40818086567796, -111.9439705495778 33.40812925608953, -111.9439715091883 33.40747908488663, -111.9439714909051 33.40737624680965)",auto,1,0,,
South Farmer Avenue,17,5590095,24,23,1,173.02382146372238,1,40,,residential,6,"LINESTRING (-111.9439284728348 33.40737625218188, -111.9439284910628 33.40747906523848, -111.9439275306726 33.40812954744709, -111.9439286300278 33.40818256710187, -111.9439310095888 33.40820846101144, -111.9439406234221 33.40823565884306, -111.9439550151486 33.40826381102418, -111.9439752961319 33.40828681660999, -111.9439987209069 33.40830940280301, -111.9440266683069 33.40832774084101, -111.9440613188517 33.40834276687492, -111.9440991870084 33.40835268650567, -111.9441721155453 33.40836141485551, -111.9441747908916 33.40836173504973, -111.9441987639637 33.40836736143064, -111.9442161771236 33.40837393066429, -111.9442314383905 33.40838446812223, -111.9442445038843 33.40839542266619, -111.9442583134309 33.40841163211395, -111.9442679869586 33.40843006330116, -111.9442718078903 33.40845566821103, -111.9442738926897 33.40848879365367, -111.9442728699055 33.40876880567938)",auto,1,0,,
East 6th Street,18,5591077,25,26,1,203.2905808904648,1,,,residential,6,"LINESTRING (-111.93040553074 33.42312271837353, -111.9303904324718 33.42317969590956, -111.9303795478966 33.42322442336015, -111.9303665776154 33.42329240723413, -111.9302891506086 33.42368561230526, -111.9302764098591 33.42374972088211, -111.9302611597959 33.42379831778272, -111.9302245461112 33.42385631273455, -111.9301971875204 33.42388499020477, -111.9301521519228 33.42391520241924, -111.9301032163969 33.42393743013518, -111.9299160284244 33.4240020122723, -111.9296783321952 33.42408408682594, -111.9296547850712 33.42409216462615, -111.9292120291092 33.42423995410559, -111.9290725165169 33.42428224988082)",auto,1,0,,
East 6th Street,19,5591077,26,25,1,203.2905808904648,1,,,residential,6,"LINESTRING (-111.9290871457403 33.42431617946316, -111.9292273041126 33.4242736879056, -111.9296708878046 33.42412562212736, -111.9296946694064 33.42411746388947, -111.929932408376 33.4240353745731, -111.9301217007273 33.42397006639433, -111.9301760272738 33.4239453899417, -111.9302277993958 33.42391065850991, -111.9302606762165 33.42387619677812, -111.9303015071275 33.42381152182437, -111.9303185245204 33.42375729294838, -111.9303315966959 33.42369151655088, -111.9304090462743 33.42329819588022, -111.9304218885279 33.4232308828932, -111.9304325149141 33.42318721631914, -111.9304475321834 33.42313054435211)",auto,1,0,,
West 6th Street,20,5591085,351,807,1,111.10839090819034,1,40,,residential,6,"LINESTRING (-111.9412690941201 33.42432020210434, -111.9407086538205 33.42432296477458, -111.9400718631754 33.42432663395003)",auto,1,0,,
West 6th Street,21,5591085,807,351,1,111.10839090819034,1,40,,residential,6,"LINESTRING (-111.9400721586933 33.42436271214754, -111.9407089388626 33.42435904303245, -111.9412693471696 33.42435628052878)",auto,1,0,,
East 6th Street,22,5591100,299,30,1,89.78086932890471,1,40,,residential,6,"LINESTRING (-111.9376329867033 33.42433856853305, -111.9375407301067 33.42434037440104, -111.9373580986283 33.42434038764365, -111.9367568042648 33.42434133131975, -111.9366664679908 33.42434133733274)",auto,1,0,,
East 6th Street,23,5591100,30,299,1,89.7808693289047,1,40,,residential,6,"LINESTRING (-111.9366664713876 33.4243774163813, -111.9367568461861 33.42437741036572, -111.9373581407983 33.42437646668939, -111.937541234105 33.42437645341288, -111.9376339908435 33.42437463775511)",auto,1,0,,
East 6th Street,24,5591100,30,192,1,156.80956303232696,1,40,,residential,6,"LINESTRING (-111.9366664679908 33.42434133733274, -111.9365598710606 33.42434134434347, -111.9362338847534 33.42434407165221, -111.9358563629018 33.42434589853977, -111.9355106380363 33.42434770820201, -111.9353990647041 33.42432365718741, -111.9353853299337 33.42432221833648, -111.9353100503894 33.42431433204343, -111.9351230335339 33.42431830233714, -111.935096031266 33.42431887556128, -111.9349815083672 33.42431618918225)",auto,1,0,,
East 6th Street,25,5591100,192,30,1,156.80956303232696,1,40,,residential,6,"LINESTRING (-111.9349803051909 33.42435225412211, -111.9350959741241 33.42435496738325, -111.9351232557414 33.42435438822913, -111.935307915997 33.42435046796815, -111.9353822402801 33.42435825418629, -111.9353910088472 33.42435917277908, -111.9355053282491 33.4243838157393, -111.9358566264468 33.42438197691192, -111.9362342235456 33.42438014966208, -111.9365600874108 33.42437742337813, -111.9366664713876 33.4243774163813)",auto,1,0,,
South Maple Avenue,26,5591429,31,721,1,156.61651441228986,1,,,residential,6,"LINESTRING (-111.9412825027087 33.42192763794186, -111.9412806537502 33.42191911641186, -111.9412698692736 33.42151798654336, -111.9412687922707 33.4215008672297, -111.9412644700329 33.42132433456227, -111.9412633902395 33.42128739674727, -111.9412623052908 33.42122962509662, -111.9412612264776 33.42119899523886, -111.9412525308029 33.42057132156935, -111.941251446595 33.42052165266175)",auto,1,0,,
South Maple Avenue,27,5591429,721,31,1,156.61651441228986,1,,,residential,6,"LINESTRING (-111.9412084292484 33.42052231296644, -111.9412095107994 33.42057186128049, -111.9412182089694 33.42119973741383, -111.9412192903906 33.42123044174715, -111.941220373611 33.42128812288627, -111.941221455907 33.42132514693446, -111.9412257905106 33.42150218821875, -111.9412268697863 33.42151934379464, -111.9412377159316 33.42192277482066, -111.94124017241 33.42193409633083)",auto,1,0,,
East Vista del Cerro Drive,28,5592991,36,37,1,535.8009582138667,1,40,,residential,6,"LINESTRING (-111.9392561502331 33.40866511215201, -111.9391582105904 33.40911127532064, -111.9391494696871 33.40917364257539, -111.9390724411327 33.41013786912648, -111.938991626575 33.41025904896037, -111.9388551727175 33.41032638188546, -111.9376168985555 33.41035430459723, -111.9364512442387 33.4103336810501, -111.9362790352108 33.41030601792509, -111.9361586777534 33.41021939074459, -111.9361012263133 33.41008261813958, -111.9360853271443 33.4099422742275, -111.9360336618591 33.40950388186747)",auto,1,0,,
East Vista del Cerro Drive,29,5592991,37,36,1,535.8009582138667,1,40,,residential,6,"LINESTRING (-111.9359908513397 33.40950743059296, -111.9360425083869 33.40994575487559, -111.9360588986242 33.41009043412696, -111.9361219267828 33.41024048318482, -111.9362597028338 33.4103396474061, -111.936446712122 33.41036968800559, -111.9376170230823 33.41039039395326, -111.9388674231153 33.410362197756, -111.9390234846418 33.41028518945016, -111.9391147166282 33.41014838880221, -111.9391923203551 33.40917695648977, -111.9392007719609 33.40911665319222, -111.9392984579292 33.40867164464638)",auto,1,0,,
East Vista del Cerro Drive,30,5592994,39,40,1,335.39845255173066,1,,,residential,6,"LINESTRING (-111.930125053406 33.41042679507505, -111.9296969848297 33.41042770212745, -111.926511361129 33.41044032091287)",auto,1,0,,
East Vista del Cerro Drive,31,5592994,40,39,1,335.39845255173066,1,,,residential,6,"LINESTRING (-111.9265115636569 33.41047639964295, -111.9296971410553 33.41046378104163, -111.9301251621856 33.41046287408968)",auto,1,0,,
