mvmt_id,timing_phase_id,timing_plan_id,green_time_window,signal_phase_num,min_green,max_green,start_green_time,end_green_time,extension,clearance,walk_time,cycle_time,ped_clearance,mvmt_txt_id,ring,barrier,stage_no,position,capacity,v_over_c,osm_web_address,geometry
55,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBT,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9443363429259 33.42948967228585, -111.944170106528 33.42951538593105)"
56,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBR,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9443363429259 33.42948967228585, -111.9442596838649 33.42944378402159)"
47,1,0,000000_000005,5,5,5,0,5,,,55,60,,WBL,2,1,1,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520506,"LINESTRING (-111.944170106528 33.42951538593105, -111.9442596838649 33.42944378402159)"
48,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBT,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.944170106528 33.42951538593105, -111.9443363429259 33.42948967228585)"
49,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBR,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.944170106528 33.42951538593105, -111.9443141938134 33.42956916540348)"
53,3,0,000030_000035,3,5,5,30,35,,,55,60,,NBL,1,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9442596838649 33.42944378402159, -111.9443141938134 33.42956916540348)"
50,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBT,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9442596838649 33.42944378402159, -111.944257776824 33.42958800314396)"
51,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBR,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9442596838649 33.42944378402159, -111.944170106528 33.42951538593105)"
59,3,0,000030_000035,7,5,5,30,35,,,55,60,,SBL,2,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9443141938134 33.42956916540348, -111.944170106528 33.42951538593105)"
43,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBT,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.944257776824 33.42958800314396, -111.9442596838649 33.42944378402159)"
61,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBR,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520506,"LINESTRING (-111.9443141938134 33.42956916540348, -111.9443363429259 33.42948967228585)"
70,3,0,000037_000044,3,6,6,37,44,,,54,60,,EBL,1,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9444109652965 33.42914375442389, -111.9442852074343 33.42920802637153)"
73,4,0,000044_000100,4,15,15,44,60,,,45,60,,EBR,1,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9444109652965 33.42914375442389, -111.9442669813063 33.42909089263425)"
80,1,0,000000_000006,1,6,6,0,6,,,54,60,,NBL,1,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442669813063 33.42909089263425, -111.9444109652965 33.42914375442389)"
74,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442934507204 33.42907709098201, -111.9442852074343 33.42920802637153)"
78,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBR,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442669813063 33.42909089263425, -111.9442852074343 33.42920802637153)"
65,1,0,000000_000006,5,6,6,0,6,,,54,60,,SBL,2,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442852074343 33.42920802637153, -111.9442669813063 33.42909089263425)"
64,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442852074343 33.42920802637153, -111.9442934507204 33.42907709098201)"
63,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBR,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520509,"LINESTRING (-111.9442852074343 33.42920802637153, -111.9444109652965 33.42914375442389)"
83,1,0,000000_000005,1,5,5,0,5,,,55,60,,EBL,1,1,1,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520512,"LINESTRING (-111.944374480991 33.42546860305202, -111.9442876619812 33.42553996366377)"
84,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBT,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.944374480991 33.42546860305202, -111.9442054373837 33.42544884765483)"
82,2,0,000005_000030,2,25,25,5,30,,,35,60,,EBR,1,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.944374480991 33.42546860305202, -111.9442892910746 33.4253956539865)"
92,1,0,000000_000005,5,5,5,0,5,,,55,60,,WBL,2,1,1,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442106487828 33.42549867500098, -111.9442892910746 33.4253956539865)"
91,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBT,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442106487828 33.42549867500098, -111.944374480991 33.42546860305202)"
93,2,0,000005_000030,6,25,25,5,30,,,35,60,,WBR,2,1,2,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442106487828 33.42549867500098, -111.9442876619812 33.42553996366377)"
85,3,0,000030_000035,3,5,5,30,35,,,55,60,,NBL,1,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442892910746 33.4253956539865, -111.944374480991 33.42546860305202)"
86,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBT,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442892910746 33.4253956539865, -111.9442876619812 33.42553996366377)"
87,4,0,000035_000100,4,25,25,35,60,,,35,60,,NBR,1,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442892910746 33.4253956539865, -111.9442054373837 33.42544884765483)"
90,3,0,000030_000035,7,5,5,30,35,,,55,60,,SBL,2,2,3,,178.5,1.1204481792717087,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442876619812 33.42553996366377, -111.9442054373837 33.42544884765483)"
89,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBT,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442876619812 33.42553996366377, -111.9442892910746 33.4253956539865)"
88,4,0,000035_000100,8,25,25,35,60,,,35,60,,SBR,2,2,4,,688.5000000000001,0.7262164124909222,http://openstreetmap.org/node/41520512,"LINESTRING (-111.9442876619812 33.42553996366377, -111.944374480991 33.42546860305202)"
94,3,0,000037_000044,3,6,6,37,44,,,54,60,,EBL,1,2,3,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443892362368 33.42432013331798, -111.9443019679899 33.42439174098301)"
96,4,0,000044_000100,4,15,15,44,60,,,45,60,,EBR,1,2,4,,453.6315789473685,1.102216034342731,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443892362368 33.42432013331798, -111.9442655974634 33.42425467987841)"
103,1,0,000000_000006,1,6,6,0,6,,,54,60,,NBL,1,1,1,,212.0526315789474,0.9431620749565648,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9442655974634 33.42425467987841, -111.9443892362368 33.42432013331798)"
104,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBT,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9442655974634 33.42425467987841, -111.9443019679899 33.42439174098301)"
102,2,0,000006_000037,2,31,31,6,37,,,29,60,,NBR,1,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443028997776 33.42424743241973, -111.9442655974634 33.42425467987841)"
99,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBT,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443019679899 33.42439174098301, -111.9442655974634 33.42425467987841)"
97,2,0,000006_000037,6,31,31,6,37,,,29,60,,SBR,2,1,2,,856.263157894737,0.583932632614174,http://openstreetmap.org/node/41520515,"LINESTRING (-111.9443019679899 33.42439174098301, -111.9443892362368 33.42432013331798)"
