name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,938173338,,yes,,,"POLYGON ((-111.944072 33.415796, -111.943932 33.415796, -111.943932 33.415892, -111.944072 33.415892, -111.944072 33.415796))",POINT (-111.944002 33.415844),137.8,1483.3
,1,895314158,,yes,,,"POLYGON ((-111.908763 33.4118202, -111.9081049 33.4118241, -111.9081065 33.4113228, -111.9087652 33.4113175, -111.9087629 33.4114862, -111.9085841 33.4114891, -111.9085818 33.4116498, -111.9086378 33.4116494, -111.9086317 33.4115924, -111.9087794 33.4115941, -111.9087807 33.4116675, -111.9087643 33.4116675, -111.908763 33.4118202))",POINT (-111.9084198 33.4115728),3193.9,34378.4
,2,938177485,,yes,,,"POLYGON ((-111.942742 33.414887, -111.942624 33.414887, -111.942624 33.415072, -111.942742 33.415072, -111.942742 33.414887))",POINT (-111.942683 33.4149795),225.5,2427.3
,3,712722130,,yes,,,"POLYGON ((-111.9086593 33.4240393, -111.9081649 33.4240395, -111.9081655 33.424858, -111.9086496 33.4248578, -111.9086494 33.4245938, -111.9084925 33.4245939, -111.9084923 33.4243145, -111.9086595 33.4243144, -111.9086593 33.4240393))",POINT (-111.908389 33.4244458),3662.3,39421.1
,4,938177220,,yes,,,"POLYGON ((-111.942565 33.419946, -111.942715 33.419946, -111.942715 33.419852, -111.942565 33.419852, -111.942565 33.419946))",POINT (-111.94264 33.419899),147.0,1582.3
,5,938428705,,yes,,,"POLYGON ((-111.94443 33.428132, -111.94443 33.428221, -111.944957 33.42822, -111.944957 33.428131, -111.94443 33.428132))",POINT (-111.9446935 33.428176),485.1,5221.6
Marina Heights Building #4,6,439081930,,yes,,,"POLYGON ((-111.9323246 33.4297317, -111.931393 33.4294468, -111.9312316 33.4298144, -111.9321633 33.4300993, -111.9323246 33.4297317))",POINT (-111.9317781 33.4297731),4002.2,43079.3
,7,162574965,,yes,,,"POLYGON ((-111.9247762 33.4218515, -111.9246024 33.4218531, -111.9245915 33.421037, -111.9246553 33.4210364, -111.9246546 33.4209842, -111.9249169 33.4209818, -111.9249173 33.4210083, -111.9251397 33.4210063, -111.9251419 33.4211694, -111.9249002 33.4211716, -111.9248995 33.4211151, -111.9247664 33.4211163, -111.9247757 33.4218124, -111.9247762 33.4218515))",POINT (-111.9247625 33.4213286),2121.8,22838.5
,8,588272017,,apartments,,,"POLYGON ((-111.9131969 33.4209195, -111.913314 33.4207909, -111.913019 33.4206037, -111.9129019 33.4207323, -111.9131969 33.4209195))",POINT (-111.913108 33.4207616),618.9,6661.6
,9,546388941,,,parking,,"POLYGON ((-111.9258715 33.42955, -111.9247606 33.4295426, -111.9242506 33.4296832, -111.9237273 33.4296851, -111.9237007 33.4292613, -111.9243437 33.4290189, -111.9245965 33.4289689, -111.9251109 33.4289689, -111.9253593 33.4290189, -111.9258937 33.4290466, -111.9259425 33.4291188, -111.9259092 33.4294889, -111.9258715 33.42955))",POINT (-111.924806 33.4293144),12645.8,136118.1
