mvmt_id,osm_node_id,node_id,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,signal_phase_num,ring,barrier,stage_no,timing_plan_id,green_time_window,green_time,cycle_time,start_green_time,end_green_time,red_time,capacity,v_over_c,mvmt_txt_id,protection,osm_web_address,geometry
51,41520521,8,863,557,4346605144,41520518,1,1,1,1,0,000000_000012,12,90,0,12,78,136.26164345647956,0.7705763510296705,EBL,permissive,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443517325494 33.42187588468356, -111.9442566000708 33.42196803825514)"
53,41520521,8,863,861,4346605144,4346605143,2,1,1,2,0,000012_000057,45,90,12,57,45,799.0,0.3879849812265332,EBT,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443517325494 33.42187588468356, -111.9441793166393 33.4218761903775)"
52,41520521,8,863,558,4346605144,41520523,2,1,1,2,0,000012_000057,45,90,12,57,45,799.0,0.1376720901126408,EBR,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9443517325494 33.42187588468356, -111.9442747117507 33.42181926177454)"
49,41520521,8,860,558,4346605143,41520523,5,2,1,1,0,000000_000012,12,90,0,12,78,136.26164345647956,0.7705763510296705,WBL,permissive,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944179727751 33.42191226779279, -111.9442747117507 33.42181926177454)"
50,41520521,8,860,862,4346605143,4346605144,6,2,1,2,0,000012_000057,45,90,12,57,45,799.0,0.3879849812265332,WBT,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944179727751 33.42191226779279, -111.9443515033733 33.42191196323407)"
48,41520521,8,860,557,4346605143,41520518,6,2,1,2,0,000012_000057,45,90,12,57,45,799.0,0.1376720901126408,WBR,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944179727751 33.42191226779279, -111.9442566000708 33.42196803825514)"
47,41520521,8,559,862,41520523,4346605144,3,1,2,3,0,000057_000109,12,90,57,69,78,136.26164345647956,0.7705763510296705,NBL,permissive,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944232151674 33.42182500093486, -111.9443515033733 33.42191196323407)"
45,41520521,8,559,557,41520523,41520518,4,1,2,4,0,000109_000130,45,90,69,90,45,799.0,0.3879849812265332,NBT,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944232151674 33.42182500093486, -111.9442566000708 33.42196803825514)"
46,41520521,8,559,861,41520523,4346605143,4,1,2,4,0,000109_000130,45,90,69,90,45,799.0,0.1376720901126408,NBR,protected,http://openstreetmap.org/node/41520521,"LINESTRING (-111.944232151674 33.42182500093486, -111.9441793166393 33.4218761903775)"
43,41520521,8,556,861,41520518,4346605143,7,2,2,3,0,000057_000109,12,90,57,69,78,136.26164345647956,0.7705763510296705,SBL,permissive,http://openstreetmap.org/node/41520521,"LINESTRING (-111.9442991372929 33.42196174437481, -111.9441793166393 33.4218761903775)"
