mvmt_id,timing_phase_id,timing_plan_id,signal_phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance,ring,barrier,position,geometry
12,2,0,12,19,19,,,19,,,,41520512,"LINESTRING (-111.9442762 33.426894, -111.9442814 33.4254737, -111.9446 33.425474)"
18,3,0,1,12,12,,,13,,,,41520515,"LINESTRING (-111.9446 33.4243213, -111.9443033 33.4243197, -111.9442814 33.4254737)"
19,3,0,3,12,12,,,13,,,,41520515,"LINESTRING (-111.9446 33.4243213, -111.9443033 33.4243197, -111.9442993 33.4231771)"
22,1,0,7,5,5,,,20,,,,41520515,"LINESTRING (-111.9442993 33.4231771, -111.9443033 33.4243197, -111.9446 33.4243213)"
23,2,0,8,12,12,,,13,,,,41520515,"LINESTRING (-111.9442993 33.4231771, -111.9443033 33.4243197, -111.9442814 33.4254737)"
21,2,0,11,12,12,,,13,,,,41520515,"LINESTRING (-111.9442814 33.4254737, -111.9443033 33.4243197, -111.9442993 33.4231771)"
20,2,0,12,12,12,,,13,,,,41520515,"LINESTRING (-111.9442814 33.4254737, -111.9443033 33.4243197, -111.9446 33.4243213)"
24,3,0,1,12,12,,,13,,,,41520518,"LINESTRING (-111.9446 33.4231772, -111.9442993 33.4231771, -111.9443033 33.4243197)"
25,3,0,3,12,12,,,13,,,,41520518,"LINESTRING (-111.9446 33.4231772, -111.9442993 33.4231771, -111.9442661 33.4218936)"
28,1,0,7,5,5,,,20,,,,41520518,"LINESTRING (-111.9442661 33.4218936, -111.9442993 33.4231771, -111.9446 33.4231772)"
29,2,0,8,12,12,,,13,,,,41520518,"LINESTRING (-111.9442661 33.4218936, -111.9442993 33.4231771, -111.9443033 33.4243197)"
27,2,0,11,12,12,,,13,,,,41520518,"LINESTRING (-111.9443033 33.4243197, -111.9442993 33.4231771, -111.9442661 33.4218936)"
26,2,0,12,12,12,,,13,,,,41520518,"LINESTRING (-111.9443033 33.4243197, -111.9442993 33.4231771, -111.9446 33.4231772)"
39,1,0,1,19,19,,,19,,,,41520521,"LINESTRING (-111.9446 33.4218947, -111.9442661 33.4218936, -111.9442993 33.4231771)"
41,1,0,2,19,19,,,19,,,,41520521,"LINESTRING (-111.9446 33.4218947, -111.9442661 33.4218936, -111.9439222 33.4218959)"
40,1,0,3,19,19,,,19,,,,41520521,"LINESTRING (-111.9446 33.4218947, -111.9442661 33.4218936, -111.9442498 33.420638)"
37,1,0,4,19,19,,,19,,,,41520521,"LINESTRING (-111.9439222 33.4218959, -111.9442661 33.4218936, -111.9442498 33.420638)"
38,1,0,5,19,19,,,19,,,,41520521,"LINESTRING (-111.9439222 33.4218959, -111.9442661 33.4218936, -111.9446 33.4218947)"
36,1,0,6,19,19,,,19,,,,41520521,"LINESTRING (-111.9439222 33.4218959, -111.9442661 33.4218936, -111.9442993 33.4231771)"
35,2,0,7,19,19,,,19,,,,41520521,"LINESTRING (-111.9442498 33.420638, -111.9442661 33.4218936, -111.9446 33.4218947)"
33,2,0,8,19,19,,,19,,,,41520521,"LINESTRING (-111.9442498 33.420638, -111.9442661 33.4218936, -111.9442993 33.4231771)"
34,2,0,9,19,19,,,19,,,,41520521,"LINESTRING (-111.9442498 33.420638, -111.9442661 33.4218936, -111.9439222 33.4218959)"
31,2,0,10,19,19,,,19,,,,41520521,"LINESTRING (-111.9442993 33.4231771, -111.9442661 33.4218936, -111.9439222 33.4218959)"
30,2,0,11,19,19,,,19,,,,41520521,"LINESTRING (-111.9442993 33.4231771, -111.9442661 33.4218936, -111.9442498 33.420638)"
32,2,0,12,19,19,,,19,,,,41520521,"LINESTRING (-111.9442993 33.4231771, -111.9442661 33.4218936, -111.9446 33.4218947)"
42,3,0,1,12,12,,,13,,,,41520523,"LINESTRING (-111.9446 33.4206385, -111.9442498 33.420638, -111.9442661 33.4218936)"
43,3,0,3,12,12,,,13,,,,41520523,"LINESTRING (-111.9446 33.4206385, -111.9442498 33.420638, -111.9442498 33.4203483)"
46,1,0,7,5,5,,,20,,,,41520523,"LINESTRING (-111.9442498 33.4203483, -111.9442498 33.420638, -111.9446 33.4206385)"
47,2,0,8,12,12,,,13,,,,41520523,"LINESTRING (-111.9442498 33.4203483, -111.9442498 33.420638, -111.9442661 33.4218936)"
45,2,0,11,12,12,,,13,,,,41520523,"LINESTRING (-111.9442661 33.4218936, -111.9442498 33.420638, -111.9442498 33.4203483)"
44,2,0,12,12,12,,,13,,,,41520523,"LINESTRING (-111.9442661 33.4218936, -111.9442498 33.420638, -111.9446 33.4206385)"
53,3,0,4,12,12,,,13,,,,41520525,"LINESTRING (-111.9424218 33.4204698, -111.9442498 33.4203483, -111.944246 33.4194019)"
52,3,0,6,12,12,,,13,,,,41520525,"LINESTRING (-111.9424218 33.4204698, -111.9442498 33.4203483, -111.9442498 33.420638)"
50,2,0,8,12,12,,,13,,,,41520525,"LINESTRING (-111.944246 33.4194019, -111.9442498 33.4203483, -111.9442498 33.420638)"
51,2,0,9,12,12,,,13,,,,41520525,"LINESTRING (-111.944246 33.4194019, -111.9442498 33.4203483, -111.9424218 33.4204698)"
49,1,0,10,5,5,,,20,,,,41520525,"LINESTRING (-111.9442498 33.420638, -111.9442498 33.4203483, -111.9424218 33.4204698)"
48,2,0,11,12,12,,,13,,,,41520525,"LINESTRING (-111.9442498 33.420638, -111.9442498 33.4203483, -111.944246 33.4194019)"
54,3,0,1,12,12,,,13,,,,41520528,"LINESTRING (-111.9446 33.4194022, -111.944246 33.4194019, -111.9442498 33.4203483)"
55,3,0,3,12,12,,,13,,,,41520528,"LINESTRING (-111.9446 33.4194022, -111.944246 33.4194019, -111.9442453 33.4189174)"
58,1,0,7,5,5,,,20,,,,41520528,"LINESTRING (-111.9442453 33.4189174, -111.944246 33.4194019, -111.9446 33.4194022)"
59,2,0,8,12,12,,,13,,,,41520528,"LINESTRING (-111.9442453 33.4189174, -111.944246 33.4194019, -111.9442498 33.4203483)"
57,2,0,11,12,12,,,13,,,,41520528,"LINESTRING (-111.9442498 33.4203483, -111.944246 33.4194019, -111.9442453 33.4189174)"
56,2,0,12,12,12,,,13,,,,41520528,"LINESTRING (-111.9442498 33.4203483, -111.944246 33.4194019, -111.9446 33.4194022)"
61,3,0,4,12,12,,,13,,,,41520531,"LINESTRING (-111.9423945 33.4190482, -111.9442453 33.4189174, -111.9442439 33.4177833)"
60,3,0,6,12,12,,,13,,,,41520531,"LINESTRING (-111.9423945 33.4190482, -111.9442453 33.4189174, -111.944246 33.4194019)"
65,2,0,8,12,12,,,13,,,,41520531,"LINESTRING (-111.9442439 33.4177833, -111.9442453 33.4189174, -111.944246 33.4194019)"
64,2,0,9,12,12,,,13,,,,41520531,"LINESTRING (-111.9442439 33.4177833, -111.9442453 33.4189174, -111.9423945 33.4190482)"
62,1,0,10,5,5,,,20,,,,41520531,"LINESTRING (-111.944246 33.4194019, -111.9442453 33.4189174, -111.9423945 33.4190482)"
63,2,0,11,12,12,,,13,,,,41520531,"LINESTRING (-111.944246 33.4194019, -111.9442453 33.4189174, -111.9442439 33.4177833)"
66,3,0,1,12,12,,,13,,,,41520533,"LINESTRING (-111.9446 33.4177855, -111.9442439 33.4177833, -111.9442453 33.4189174)"
67,3,0,3,12,12,,,13,,,,41520533,"LINESTRING (-111.9446 33.4177855, -111.9442439 33.4177833, -111.944241 33.4168222)"
70,1,0,7,5,5,,,20,,,,41520533,"LINESTRING (-111.944241 33.4168222, -111.9442439 33.4177833, -111.9446 33.4177855)"
71,2,0,8,12,12,,,13,,,,41520533,"LINESTRING (-111.944241 33.4168222, -111.9442439 33.4177833, -111.9442453 33.4189174)"
69,2,0,11,12,12,,,13,,,,41520533,"LINESTRING (-111.9442453 33.4189174, -111.9442439 33.4177833, -111.944241 33.4168222)"
68,2,0,12,12,12,,,13,,,,41520533,"LINESTRING (-111.9442453 33.4189174, -111.9442439 33.4177833, -111.9446 33.4177855)"
72,3,0,1,12,12,,,13,,,,41520536,"LINESTRING (-111.9446 33.4168234, -111.944241 33.4168222, -111.9442439 33.4177833)"
73,3,0,3,12,12,,,13,,,,41520536,"LINESTRING (-111.9446 33.4168234, -111.944241 33.4168222, -111.9442403 33.4160678)"
76,1,0,7,5,5,,,20,,,,41520536,"LINESTRING (-111.9442403 33.4160678, -111.944241 33.4168222, -111.9446 33.4168234)"
77,2,0,8,12,12,,,13,,,,41520536,"LINESTRING (-111.9442403 33.4160678, -111.944241 33.4168222, -111.9442439 33.4177833)"
75,2,0,11,12,12,,,13,,,,41520536,"LINESTRING (-111.9442439 33.4177833, -111.944241 33.4168222, -111.9442403 33.4160678)"
74,2,0,12,12,12,,,13,,,,41520536,"LINESTRING (-111.9442439 33.4177833, -111.944241 33.4168222, -111.9446 33.4168234)"
78,3,0,1,12,12,,,13,,,,41520539,"LINESTRING (-111.9446 33.4160686, -111.9442403 33.4160678, -111.944241 33.4168222)"
79,3,0,3,12,12,,,13,,,,41520539,"LINESTRING (-111.9446 33.4160686, -111.9442403 33.4160678, -111.9442483 33.4146347)"
82,1,0,7,5,5,,,20,,,,41520539,"LINESTRING (-111.9442483 33.4146347, -111.9442403 33.4160678, -111.9446 33.4160686)"
83,2,0,8,12,12,,,13,,,,41520539,"LINESTRING (-111.9442483 33.4146347, -111.9442403 33.4160678, -111.944241 33.4168222)"
81,2,0,11,12,12,,,13,,,,41520539,"LINESTRING (-111.944241 33.4168222, -111.9442403 33.4160678, -111.9442483 33.4146347)"
80,2,0,12,12,12,,,13,,,,41520539,"LINESTRING (-111.944241 33.4168222, -111.9442403 33.4160678, -111.9446 33.4160686)"
87,1,0,1,12,12,,,13,,,,41520542,"LINESTRING (-111.9442875 33.4146337, -111.9442483 33.4146347, -111.9442403 33.4160678)"
86,1,0,2,12,12,,,13,,,,41520542,"LINESTRING (-111.9442875 33.4146337, -111.9442483 33.4146347, -111.9424188 33.4147283)"
84,1,0,5,12,12,,,13,,,,41520542,"LINESTRING (-111.9424188 33.4147283, -111.9442483 33.4146347, -111.9442875 33.4146337)"
85,1,0,6,12,12,,,13,,,,41520542,"LINESTRING (-111.9424188 33.4147283, -111.9442483 33.4146347, -111.9442403 33.4160678)"
88,2,0,10,6,6,,,19,,,,41520542,"LINESTRING (-111.9442403 33.4160678, -111.9442483 33.4146347, -111.9424188 33.4147283)"
89,2,0,12,6,6,,,19,,,,41520542,"LINESTRING (-111.9442403 33.4160678, -111.9442483 33.4146347, -111.9442875 33.4146337)"
95,1,0,2,12,12,,,13,,,,41520578,"LINESTRING (-111.9446 33.4146346, -111.9442875 33.4146337, -111.9442483 33.4146347)"
94,1,0,3,12,12,,,13,,,,41520578,"LINESTRING (-111.9446 33.4146346, -111.9442875 33.4146337, -111.9443138 33.4139026)"
92,1,0,4,12,12,,,13,,,,41520578,"LINESTRING (-111.9442483 33.4146347, -111.9442875 33.4146337, -111.9443138 33.4139026)"
93,1,0,5,12,12,,,13,,,,41520578,"LINESTRING (-111.9442483 33.4146347, -111.9442875 33.4146337, -111.9446 33.4146346)"
91,2,0,7,6,6,,,19,,,,41520578,"LINESTRING (-111.9443138 33.4139026, -111.9442875 33.4146337, -111.9446 33.4146346)"
90,2,0,9,6,6,,,19,,,,41520578,"LINESTRING (-111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347)"
100,3,0,1,12,12,,,13,,,,41520581,"LINESTRING (-111.9446 33.4139035, -111.9443138 33.4139026, -111.9442875 33.4146337)"
101,3,0,3,12,12,,,13,,,,41520581,"LINESTRING (-111.9446 33.4139035, -111.9443138 33.4139026, -111.9443094 33.4131817)"
99,1,0,7,5,5,,,20,,,,41520581,"LINESTRING (-111.9443094 33.4131817, -111.9443138 33.4139026, -111.9446 33.4139035)"
98,2,0,8,12,12,,,13,,,,41520581,"LINESTRING (-111.9443094 33.4131817, -111.9443138 33.4139026, -111.9442875 33.4146337)"
96,2,0,11,12,12,,,13,,,,41520581,"LINESTRING (-111.9442875 33.4146337, -111.9443138 33.4139026, -111.9443094 33.4131817)"
97,2,0,12,12,12,,,13,,,,41520581,"LINESTRING (-111.9442875 33.4146337, -111.9443138 33.4139026, -111.9446 33.4139035)"
106,3,0,1,12,12,,,13,,,,41520584,"LINESTRING (-111.9446 33.4131833, -111.9443094 33.4131817, -111.9443138 33.4139026)"
107,3,0,3,12,12,,,13,,,,41520584,"LINESTRING (-111.9446 33.4131833, -111.9443094 33.4131817, -111.9443024 33.4110208)"
105,1,0,7,5,5,,,20,,,,41520584,"LINESTRING (-111.9443024 33.4110208, -111.9443094 33.4131817, -111.9446 33.4131833)"
104,2,0,8,12,12,,,13,,,,41520584,"LINESTRING (-111.9443024 33.4110208, -111.9443094 33.4131817, -111.9443138 33.4139026)"
102,2,0,11,12,12,,,13,,,,41520584,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817, -111.9443024 33.4110208)"
103,2,0,12,12,12,,,13,,,,41520584,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817, -111.9446 33.4131833)"
117,1,0,1,19,19,,,19,,,,41520587,"LINESTRING (-111.9446 33.4110214, -111.9443024 33.4110208, -111.9443094 33.4131817)"
119,1,0,2,19,19,,,19,,,,41520587,"LINESTRING (-111.9446 33.4110214, -111.9443024 33.4110208, -111.9439296 33.411019)"
118,1,0,3,19,19,,,19,,,,41520587,"LINESTRING (-111.9446 33.4110214, -111.9443024 33.4110208, -111.9442963 33.410264)"
115,1,0,4,19,19,,,19,,,,41520587,"LINESTRING (-111.9439296 33.411019, -111.9443024 33.4110208, -111.9442963 33.410264)"
116,1,0,5,19,19,,,19,,,,41520587,"LINESTRING (-111.9439296 33.411019, -111.9443024 33.4110208, -111.9446 33.4110214)"
114,1,0,6,19,19,,,19,,,,41520587,"LINESTRING (-111.9439296 33.411019, -111.9443024 33.4110208, -111.9443094 33.4131817)"
113,2,0,7,19,19,,,19,,,,41520587,"LINESTRING (-111.9442963 33.410264, -111.9443024 33.4110208, -111.9446 33.4110214)"
111,2,0,8,19,19,,,19,,,,41520587,"LINESTRING (-111.9442963 33.410264, -111.9443024 33.4110208, -111.9443094 33.4131817)"
112,2,0,9,19,19,,,19,,,,41520587,"LINESTRING (-111.9442963 33.410264, -111.9443024 33.4110208, -111.9439296 33.411019)"
109,2,0,10,19,19,,,19,,,,41520587,"LINESTRING (-111.9443094 33.4131817, -111.9443024 33.4110208, -111.9439296 33.411019)"
108,2,0,11,19,19,,,19,,,,41520587,"LINESTRING (-111.9443094 33.4131817, -111.9443024 33.4110208, -111.9442963 33.410264)"
110,2,0,12,19,19,,,19,,,,41520587,"LINESTRING (-111.9443094 33.4131817, -111.9443024 33.4110208, -111.9446 33.4110214)"
124,3,0,1,12,12,,,13,,,,41520590,"LINESTRING (-111.9446 33.4102635, -111.9442963 33.410264, -111.9443024 33.4110208)"
125,3,0,3,12,12,,,13,,,,41520590,"LINESTRING (-111.9446 33.4102635, -111.9442963 33.410264, -111.9442959 33.4095166)"
123,1,0,7,5,5,,,20,,,,41520590,"LINESTRING (-111.9442959 33.4095166, -111.9442963 33.410264, -111.9446 33.4102635)"
122,2,0,8,12,12,,,13,,,,41520590,"LINESTRING (-111.9442959 33.4095166, -111.9442963 33.410264, -111.9443024 33.4110208)"
120,2,0,11,12,12,,,13,,,,41520590,"LINESTRING (-111.9443024 33.4110208, -111.9442963 33.410264, -111.9442959 33.4095166)"
121,2,0,12,12,12,,,13,,,,41520590,"LINESTRING (-111.9443024 33.4110208, -111.9442963 33.410264, -111.9446 33.4102635)"
130,3,0,1,12,12,,,13,,,,41520593,"LINESTRING (-111.9446 33.4095161, -111.9442959 33.4095166, -111.9442963 33.410264)"
131,3,0,3,12,12,,,13,,,,41520593,"LINESTRING (-111.9446 33.4095161, -111.9442959 33.4095166, -111.9442945 33.4089)"
129,1,0,7,5,5,,,20,,,,41520593,"LINESTRING (-111.9442945 33.4089, -111.9442959 33.4095166, -111.9446 33.4095161)"
128,2,0,8,12,12,,,13,,,,41520593,"LINESTRING (-111.9442945 33.4089, -111.9442959 33.4095166, -111.9442963 33.410264)"
126,2,0,11,12,12,,,13,,,,41520593,"LINESTRING (-111.9442963 33.410264, -111.9442959 33.4095166, -111.9442945 33.4089)"
127,2,0,12,12,12,,,13,,,,41520593,"LINESTRING (-111.9442963 33.410264, -111.9442959 33.4095166, -111.9446 33.4095161)"
136,1,0,1,12,12,,,13,,,,41529691,"LINESTRING (-111.9312627 33.4233579, -111.9304264 33.4231268, -111.929686 33.4241011)"
137,1,0,2,12,12,,,13,,,,41529691,"LINESTRING (-111.9312627 33.4233579, -111.9304264 33.4231268, -111.9295097 33.4227418)"
135,1,0,5,12,12,,,13,,,,41529691,"LINESTRING (-111.9295097 33.4227418, -111.9304264 33.4231268, -111.9339446 33.4251998)"
134,1,0,6,12,12,,,13,,,,41529691,"LINESTRING (-111.9295097 33.4227418, -111.9304264 33.4231268, -111.929686 33.4241011)"
132,2,0,10,6,6,,,19,,,,41529691,"LINESTRING (-111.929686 33.4241011, -111.9304264 33.4231268, -111.9295097 33.4227418)"
133,2,0,12,6,6,,,19,,,,41529691,"LINESTRING (-111.929686 33.4241011, -111.9304264 33.4231268, -111.9339446 33.4251998)"
139,1,0,1,12,12,,,13,,,,41529697,"LINESTRING (-111.929686 33.4241011, -111.9290798 33.4242989, -111.9293028 33.428)"
140,1,0,2,12,12,,,13,,,,41529697,"LINESTRING (-111.929686 33.4241011, -111.9290798 33.4242989, -111.9275146 33.4245016)"
143,1,0,5,12,12,,,13,,,,41529697,"LINESTRING (-111.9275146 33.4245016, -111.9290798 33.4242989, -111.929686 33.4241011)"
144,1,0,6,12,12,,,13,,,,41529697,"LINESTRING (-111.9275146 33.4245016, -111.9290798 33.4242989, -111.9293028 33.428)"
142,2,0,10,6,6,,,19,,,,41529697,"LINESTRING (-111.9293028 33.428, -111.9290798 33.4242989, -111.9275146 33.4245016)"
141,2,0,12,6,6,,,19,,,,41529697,"LINESTRING (-111.9293028 33.428, -111.9290798 33.4242989, -111.929686 33.4241011)"
146,1,0,1,19,19,,,19,,,,41529813,"LINESTRING (-111.9376334 33.4243567, -111.936666 33.4243591, -111.9366724 33.4254992)"
145,1,0,2,19,19,,,19,,,,41529813,"LINESTRING (-111.9376334 33.4243567, -111.936666 33.4243591, -111.9349809 33.4243346)"
147,1,0,3,19,19,,,19,,,,41529813,"LINESTRING (-111.9376334 33.4243567, -111.936666 33.4243591, -111.9366746 33.4232058)"
150,1,0,4,19,19,,,19,,,,41529813,"LINESTRING (-111.9349809 33.4243346, -111.936666 33.4243591, -111.9366746 33.4232058)"
148,1,0,5,19,19,,,19,,,,41529813,"LINESTRING (-111.9349809 33.4243346, -111.936666 33.4243591, -111.9376334 33.4243567)"
149,1,0,6,19,19,,,19,,,,41529813,"LINESTRING (-111.9349809 33.4243346, -111.936666 33.4243591, -111.9366724 33.4254992)"
154,2,0,7,19,19,,,19,,,,41529813,"LINESTRING (-111.9366746 33.4232058, -111.936666 33.4243591, -111.9376334 33.4243567)"
156,2,0,8,19,19,,,19,,,,41529813,"LINESTRING (-111.9366746 33.4232058, -111.936666 33.4243591, -111.9366724 33.4254992)"
155,2,0,9,19,19,,,19,,,,41529813,"LINESTRING (-111.9366746 33.4232058, -111.936666 33.4243591, -111.9349809 33.4243346)"
152,2,0,10,19,19,,,19,,,,41529813,"LINESTRING (-111.9366724 33.4254992, -111.936666 33.4243591, -111.9349809 33.4243346)"
153,2,0,11,19,19,,,19,,,,41529813,"LINESTRING (-111.9366724 33.4254992, -111.936666 33.4243591, -111.9366746 33.4232058)"
151,2,0,12,19,19,,,19,,,,41529813,"LINESTRING (-111.9366724 33.4254992, -111.936666 33.4243591, -111.9376334 33.4243567)"
162,1,0,2,12,12,,,13,,,,41533533,"LINESTRING (-111.9417462 33.4219298, -111.9412608 33.4219305, -111.9407478 33.4219322)"
161,1,0,3,12,12,,,13,,,,41533533,"LINESTRING (-111.9417462 33.4219298, -111.9412608 33.4219305, -111.94123 33.4205223)"
159,1,0,4,12,12,,,13,,,,41533533,"LINESTRING (-111.9407478 33.4219322, -111.9412608 33.4219305, -111.94123 33.4205223)"
160,1,0,5,12,12,,,13,,,,41533533,"LINESTRING (-111.9407478 33.4219322, -111.9412608 33.4219305, -111.9417462 33.4219298)"
158,2,0,7,6,6,,,19,,,,41533533,"LINESTRING (-111.94123 33.4205223, -111.9412608 33.4219305, -111.9417462 33.4219298)"
157,2,0,9,6,6,,,19,,,,41533533,"LINESTRING (-111.94123 33.4205223, -111.9412608 33.4219305, -111.9407478 33.4219322)"
167,1,0,1,19,19,,,19,,,,41533538,"LINESTRING (-111.9423945 33.4190482, -111.9412375 33.4190521, -111.9412313 33.4204449)"
166,1,0,2,19,19,,,19,,,,41533538,"LINESTRING (-111.9423945 33.4190482, -111.9412375 33.4190521, -111.939941 33.4190564)"
168,1,0,3,19,19,,,19,,,,41533538,"LINESTRING (-111.9423945 33.4190482, -111.9412375 33.4190521, -111.94123 33.4176195)"
165,1,0,4,19,19,,,19,,,,41533538,"LINESTRING (-111.939941 33.4190564, -111.9412375 33.4190521, -111.94123 33.4176195)"
163,1,0,5,19,19,,,19,,,,41533538,"LINESTRING (-111.939941 33.4190564, -111.9412375 33.4190521, -111.9423945 33.4190482)"
164,1,0,6,19,19,,,19,,,,41533538,"LINESTRING (-111.939941 33.4190564, -111.9412375 33.4190521, -111.9412313 33.4204449)"
173,2,0,7,19,19,,,19,,,,41533538,"LINESTRING (-111.94123 33.4176195, -111.9412375 33.4190521, -111.9423945 33.4190482)"
174,2,0,8,19,19,,,19,,,,41533538,"LINESTRING (-111.94123 33.4176195, -111.9412375 33.4190521, -111.9412313 33.4204449)"
172,2,0,9,19,19,,,19,,,,41533538,"LINESTRING (-111.94123 33.4176195, -111.9412375 33.4190521, -111.939941 33.4190564)"
169,2,0,10,19,19,,,19,,,,41533538,"LINESTRING (-111.9412313 33.4204449, -111.9412375 33.4190521, -111.939941 33.4190564)"
171,2,0,11,19,19,,,19,,,,41533538,"LINESTRING (-111.9412313 33.4204449, -111.9412375 33.4190521, -111.94123 33.4176195)"
170,2,0,12,19,19,,,19,,,,41533538,"LINESTRING (-111.9412313 33.4204449, -111.9412375 33.4190521, -111.9423945 33.4190482)"
179,1,0,1,19,19,,,19,,,,41533540,"LINESTRING (-111.9424525 33.4176183, -111.94123 33.4176195, -111.9412375 33.4190521)"
178,1,0,2,19,19,,,19,,,,41533540,"LINESTRING (-111.9424525 33.4176183, -111.94123 33.4176195, -111.9400362 33.4176249)"
180,1,0,3,19,19,,,19,,,,41533540,"LINESTRING (-111.9424525 33.4176183, -111.94123 33.4176195, -111.941205 33.416204)"
177,1,0,4,19,19,,,19,,,,41533540,"LINESTRING (-111.9400362 33.4176249, -111.94123 33.4176195, -111.941205 33.416204)"
175,1,0,5,19,19,,,19,,,,41533540,"LINESTRING (-111.9400362 33.4176249, -111.94123 33.4176195, -111.9424525 33.4176183)"
176,1,0,6,19,19,,,19,,,,41533540,"LINESTRING (-111.9400362 33.4176249, -111.94123 33.4176195, -111.9412375 33.4190521)"
185,2,0,7,19,19,,,19,,,,41533540,"LINESTRING (-111.941205 33.416204, -111.94123 33.4176195, -111.9424525 33.4176183)"
186,2,0,8,19,19,,,19,,,,41533540,"LINESTRING (-111.941205 33.416204, -111.94123 33.4176195, -111.9412375 33.4190521)"
184,2,0,9,19,19,,,19,,,,41533540,"LINESTRING (-111.941205 33.416204, -111.94123 33.4176195, -111.9400362 33.4176249)"
181,2,0,10,19,19,,,19,,,,41533540,"LINESTRING (-111.9412375 33.4190521, -111.94123 33.4176195, -111.9400362 33.4176249)"
183,2,0,11,19,19,,,19,,,,41533540,"LINESTRING (-111.9412375 33.4190521, -111.94123 33.4176195, -111.941205 33.416204)"
182,2,0,12,19,19,,,19,,,,41533540,"LINESTRING (-111.9412375 33.4190521, -111.94123 33.4176195, -111.9424525 33.4176183)"
191,1,0,1,19,19,,,19,,,,41533544,"LINESTRING (-111.9424528 33.4161904, -111.941205 33.416204, -111.94123 33.4176195)"
190,1,0,2,19,19,,,19,,,,41533544,"LINESTRING (-111.9424528 33.4161904, -111.941205 33.416204, -111.9399894 33.4162047)"
192,1,0,3,19,19,,,19,,,,41533544,"LINESTRING (-111.9424528 33.4161904, -111.941205 33.416204, -111.9411894 33.4147443)"
189,1,0,4,19,19,,,19,,,,41533544,"LINESTRING (-111.9399894 33.4162047, -111.941205 33.416204, -111.9411894 33.4147443)"
187,1,0,5,19,19,,,19,,,,41533544,"LINESTRING (-111.9399894 33.4162047, -111.941205 33.416204, -111.9424528 33.4161904)"
188,1,0,6,19,19,,,19,,,,41533544,"LINESTRING (-111.9399894 33.4162047, -111.941205 33.416204, -111.94123 33.4176195)"
197,2,0,7,19,19,,,19,,,,41533544,"LINESTRING (-111.9411894 33.4147443, -111.941205 33.416204, -111.9424528 33.4161904)"
198,2,0,8,19,19,,,19,,,,41533544,"LINESTRING (-111.9411894 33.4147443, -111.941205 33.416204, -111.94123 33.4176195)"
196,2,0,9,19,19,,,19,,,,41533544,"LINESTRING (-111.9411894 33.4147443, -111.941205 33.416204, -111.9399894 33.4162047)"
