mvmt_id,timing_phase_id,timing_plan_id,signal_phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance,ring,barrier,position,geometry
0,1,0,2,12,12,,,13,,,,41459438,"LINESTRING (-111.9290798 33.4242989, -111.9275146 33.4245016, -111.9263026 33.4245036)"
1,1,0,3,12,12,,,13,,,,41459438,"LINESTRING (-111.9290798 33.4242989, -111.9275146 33.4245016, -111.9278751 33.4233106)"
3,1,0,4,12,12,,,13,,,,41459438,"LINESTRING (-111.9263026 33.4245036, -111.9275146 33.4245016, -111.9278751 33.4233106)"
2,1,0,5,12,12,,,13,,,,41459438,"LINESTRING (-111.9263026 33.4245036, -111.9275146 33.4245016, -111.9290798 33.4242989)"
4,2,0,7,6,6,,,19,,,,41459438,"LINESTRING (-111.9278751 33.4233106, -111.9275146 33.4245016, -111.9290798 33.4242989)"
5,2,0,9,6,6,,,19,,,,41459438,"LINESTRING (-111.9278751 33.4233106, -111.9275146 33.4245016, -111.9263026 33.4245036)"
7,1,0,1,19,19,,,19,,,,41520512,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.9442762 33.426894)"
8,1,0,2,19,19,,,19,,,,41520512,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.943347 33.4254811)"
6,1,0,3,19,19,,,19,,,,41520512,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.9443033 33.4243197)"
16,1,0,4,19,19,,,19,,,,41520512,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9443033 33.4243197)"
15,1,0,5,19,19,,,19,,,,41520512,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9446 33.425474)"
17,1,0,6,19,19,,,19,,,,41520512,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9442762 33.426894)"
9,2,0,7,19,19,,,19,,,,41520512,"LINESTRING (-111.9443033 33.4243197, -111.9442814 33.4254737, -111.9446 33.425474)"
10,2,0,8,19,19,,,19,,,,41520512,"LINESTRING (-111.9443033 33.4243197, -111.9442814 33.4254737, -111.9442762 33.426894)"
11,2,0,9,19,19,,,19,,,,41520512,"LINESTRING (-111.9443033 33.4243197, -111.9442814 33.4254737, -111.943347 33.4254811)"
14,2,0,10,19,19,,,19,,,,41520512,"LINESTRING (-111.9442762 33.426894, -111.9442814 33.4254737, -111.943347 33.4254811)"
13,2,0,11,19,19,,,19,,,,41520512,"LINESTRING (-111.9442762 33.426894, -111.9442814 33.4254737, -111.9443033 33.4243197)"
