mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
1741,831,330683940_330683969,intersection4,808,4,,814,2,,1,4346575411,5078867005,uturn,,,signal,EBU,"LINESTRING (-111.9263788333991 33.41469194673962, -111.9263734764586 33.41484116482616)",,,auto
1742,831,330683940_330683969,intersection4,808,1,,1032,1,,1,4346575411,4347879971,left,,,signal,EBL,"LINESTRING (-111.9263788333991 33.41469194673962, -111.9262857720351 33.41491492495607)",,,auto
1743,831,330683940_330683969,intersection4,808,2,,435,2,,1,4346575411,5078867154,thru,,,signal,EBT,"LINESTRING (-111.9263788333991 33.41469194673962, -111.9262068036106 33.41469564505189)",,,auto
1744,831,330683940_330683969,intersection4,808,3,,1022,3,,1,4346575411,4347879966,right,,,signal,EBR,"LINESTRING (-111.9263788333991 33.41469194673962, -111.9262928190206 33.41462179580083)",,,auto
1745,831,330683940_330683969,intersection4,1021,1,,814,1,,1,4347879966,5078867005,left,,,signal,NBL,"LINESTRING (-111.9262928190206 33.41462179580083, -111.9263734764586 33.41484116482616)",,,auto
1746,831,330683940_330683969,intersection4,1021,2,4,1032,1,3,3,4347879966,4347879971,thru,,,signal,NBT,"LINESTRING (-111.9262928190206 33.41462179580083, -111.9262857720351 33.41491492495607)",,,auto
1747,831,330683940_330683969,intersection4,1021,5,,435,2,,1,4347879966,5078867154,right,,,signal,NBR,"LINESTRING (-111.9262928190206 33.41462179580083, -111.9262068036106 33.41469564505189)",,,auto
1840,840,2704829948_5013837645,intersection1,874,4,,1126,3,,1,4346605164,2822050829,right,,,signal,EBR,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9264072749496 33.42195576677923)",,,auto
1841,840,2704829948_5013837645,intersection1,874,2,3,876,1,2,2,4346605164,4346605166,thru,,,signal,EBT,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9261566859385 33.42203070294214)",,,auto
1842,840,2704829948_5013837645,intersection1,874,1,,1042,1,,1,4346605164,2704829949,left,,,signal,EBL,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9262415646975 33.42210098561003)",,,auto
1843,840,2704829948_5013837645,intersection1,1016,5,,875,2,,1,4347879983,4346605164,right,,,signal,SBR,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9264933066724 33.42202626192582)",,,auto
