name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,reference_cycle_length
,129,41746582,traffic_signals,,signal,,,,-111.9349278,33.4254396,,,,
,130,41752392,,,,,,,-111.9301152,33.4093411,,,,
,131,41752397,,,,,,,-111.9301168,33.4097351,,,,
,132,41752399,,,,,,,-111.9292499,33.40974,,,,
,133,41763493,,,,,,,-111.9123461,33.4157894,,,,
,134,41764208,turning_circle,,,,,,-111.9083414,33.4208575,,,,
,135,41765709,,,,,,,-111.9128246,33.4194946,,,,
,136,41765713,stop,,,,,,-111.9128246,33.418373,,,,
,137,41770192,,,,,,,-111.9182827,33.4128801,,,,
,138,41770195,turning_circle,,,,,,-111.9182748,33.4112636,,,,
,139,41778978,,,,,,,-111.9142573,33.4135608,,,,
,140,41778983,,,,,,,-111.9142573,33.4126007,,,,
,141,41778986,,,,,,,-111.9142573,33.4116263,,,,
,142,41800245,,,,,,,-111.9289198,33.4202704,,,,
,143,41800471,,,,,,,-111.9307043,33.4135726,,,,
,144,41830283,,,,,,,-111.9370709,33.4135303,,,,
,145,41830285,,,,,,,-111.9349328,33.4135475,,,,
,146,41830286,,,,,,,-111.9327775,33.4135705,,,,
,147,41832318,turning_circle,,,,,,-111.93012,33.4066513,,,,
,148,41832337,,,,,,,-111.9301168,33.4083093,,,,
,149,41832343,,,,,,,-111.9301223,33.4075271,,,,
,150,41851100,,,,,,,-111.9194063,33.4128698,,,,
,151,41851102,turning_circle,,,,,,-111.9193991,33.4112636,,,,
,152,41851723,,,,,,,-111.9117974,33.4183775,,,,
,153,41851727,,,,,,,-111.9117974,33.4161499,,,,
,154,41852597,,,,,,,-111.9337287,33.4084455,,,,
,155,41852605,,,,,,,-111.9338966,33.4066011,,,,
,156,41853706,,,,,,,-111.9203154,33.4128768,,,,
,157,41855562,,,,,,,-111.9225915,33.4128945,,,,
,158,41875702,,,,,,,-111.9419779,33.4073972,,,,
,159,41883108,,,,,,,-111.9383164,33.4074206,,,,
,160,41883110,,,,,,,-111.9359642,33.4074385,,,,
,161,41883112,traffic_signals,,signal,,,,-111.9349044,33.4074493,,,,
,162,41883117,,,,,,,-111.9290294,33.407539,,,,
,163,41883121,,,,,,,-111.9236981,33.4075215,,,,
,165,41891129,,,,,,,-111.9146898,33.4194459,,,,
,166,41915323,stop,,,,,,-111.9146941,33.4183685,,,,
,167,41915327,,,,,,,-111.9146968,33.4176543,,,,
,168,41915337,,,,,,,-111.9147513,33.4161512,,,,
,169,41942014,,,,,,,-111.92925,33.4083093,,,,
,170,41957870,,,,,,,-111.9366651,33.4232037,,,,
,171,41961180,,,,,,,-111.9329181,33.4066155,,,,
,172,41966652,,,,,,,-111.9232609,33.4128945,,,,
,173,41966670,,,,,,,-111.917064,33.4129518,,,,
,174,41995466,,,,,,,-111.9381178,33.419078,,,,
,175,42009170,,,,,,,-111.9108155,33.4116335,,,,
,176,42208491,,,,,,,-111.9177365,33.4183756,,,,
,177,42208582,,,,,,,-111.9177062,33.4063878,,,,
,178,42254473,,,,,,,-111.9171232,33.4136285,,,,
,179,42254483,,,,,,,-111.9107726,33.4135536,,,,
,180,42273739,,,,,,,-111.9381595,33.4231914,,,,
,181,42302416,turning_circle,,,,,,-111.9083283,33.4200001,,,,
,182,42304472,,,,,,,-111.9349761,33.4232093,,,,
,183,42348101,,,,,,,-111.9169266,33.4127154,,,,
,184,42351327,,,,,,,-111.933278,33.4160881,,,,
,185,42351391,turning_circle,,,,,,-111.9339665,33.4183547,,,,
,186,42466187,,,,,,,-111.9107983,33.4126007,,,,
,187,42485577,turning_circle,,,,,,-111.9138895,33.4176454,,,,
,188,193252222,,,,,,,-111.9321918,33.4292423,,,,
,189,255819200,,,,,,,-111.9400556,33.4312394,,,,
,190,255819871,,,,,,,-111.9433753,33.4312967,,,,
,191,255819874,,,,,,,-111.9430761,33.429697,,,,
,192,256604925,,,,,,,-111.9415968,33.4333701,,,,
,193,314766598,,,,,,,-111.9093577,33.4329923,,,,
,194,316007232,traffic_signals,,signal,,,,-111.9349809,33.4243346,,,,
,195,316008195,,,,,,,-111.9269771,33.4189112,,,,
,196,316008315,,,,,,,-111.9353519,33.4255151,,,,
,197,316120367,,,,,,,-111.9404627,33.431309,,,,
,198,316128443,,,,,,,-111.9356428,33.430435,,,,
,199,316128740,,,,,,,-111.926289,33.4298413,,,,
,200,316128961,,,,,,,-111.9262698,33.4335976,,,,
,201,316870046,,,,,,,-111.9382922,33.4149218,,,,
,203,316872729,,,,,,,-111.9338292,33.4183283,,,,
,204,316872733,,,,,,,-111.9337083,33.4173613,,,,
,205,316880529,,,,,,,-111.9370852,33.4145236,,,,
,206,316880683,turning_circle,,,,,,-111.9396432,33.4145427,,,,
,207,317445418,,,,,,,-111.9202907,33.4113526,,,,
,208,317654988,,,,,,,-111.9205552,33.4187226,,,,
,209,317699382,,,,,,,-111.9439296,33.411019,,,,
,210,317701014,,,,,,,-111.940029,33.4174558,,,,
,211,318033603,traffic_signals,,signal,,,,-111.9090927,33.421982,,,,
,214,330683934,,,,,,,-111.9147587,33.4148409,,,,
,215,330683937,traffic_signals,,signal,,,,-111.917698,33.4148781,,,,
,216,330683938,traffic_signals,,signal,,,,-111.9205452,33.4148706,,,,
,218,330683942,traffic_signals,,signal,,,,-111.9306499,33.4147876,,,,
,219,330683944,traffic_signals,,signal,,,,-111.932805,33.4147645,,,,
,223,330683965,traffic_signals,,signal,,,,-111.9327942,33.4146458,,,,
,224,330683967,traffic_signals,,signal,,,,-111.9306654,33.4146657,,,,
,226,330683970,traffic_signals,,signal,,,,-111.9204485,33.4147071,,,,
,227,330683971,traffic_signals,,signal,,,,-111.9177001,33.4146384,,,,
,228,330683972,,,,,,,-111.9171222,33.414605,,,,
,229,330683974,,,,,,,-111.9142668,33.4146813,,,,
,234,330689687,,,,,,,-111.923179,33.417529,,,,
,235,330689965,,,,,,,-111.9203868,33.4148865,,,,
,236,330691322,traffic_signals,,signal,,,,-111.9262989,33.420098,,,,
,237,330693619,,,,,,,-111.9312627,33.4233579,,,,
,238,330695748,,,,,,,-111.9400695,33.4274911,,,,
,239,335589267,,,,,,,-111.930544,33.4115482,,,,
,240,335595768,,,,,,,-111.9262262,33.4238148,,,,
,241,335752408,,,,,,,-111.9453807,33.4313267,,,,
,242,337713512,,,,,,,-111.9394161,33.4254973,,,,
,243,337822444,,,,,,,-111.9228983,33.4238125,,,,
,244,337827148,turning_circle,,,,,,-111.9221041,33.4115127,,,,
,245,337827302,turning_circle,,,,,,-111.9232571,33.4112193,,,,
,246,337829641,,,,,,,-111.9155964,33.4126931,,,,
,247,337830082,,,,,,,-111.9157422,33.4118556,,,,
,248,338058726,,,,,,,-111.9235422,33.4101507,,,,
,249,418969823,,,,,,,-111.9438761,33.4073773,,,,
,250,863733787,,,,,,,-111.9349501,33.4150744,,,,
,251,863736682,,,,,,,-111.9423905,33.4212237,,,,
,252,1501648856,,,,,,,-111.9113853,33.4148731,,,,
,253,1501648953,,,,,,,-111.9262989,33.4202366,,,,
,254,1617022674,,,,,,,-111.9433535,33.4309202,,,,
,255,1617023042,,,,,,,-111.9424679,33.4293072,,,,
,256,1617023067,,,,,,,-111.9428468,33.4292652,,,,
,257,1617023089,,,,,,,-111.9428484,33.4296132,,,,
,258,1617023129,,,,,,,-111.9432128,33.4303148,,,,
,259,1617023382,,,,,,,-111.943241,33.4309221,,,,
,262,1799680775,,,,,,,-111.9177396,33.4176616,,,,
,263,1799680779,turning_circle,,,,,,-111.918685,33.4188785,,,,
,264,2065989227,crossing,,,,,,-111.9399088,33.414649,,,,
,268,2065989254,,,,,,,-111.9408253,33.4147456,,,,
,272,2262988976,,,,,,,-111.9209436,33.4075259,,,,
,273,2300216506,crossing,,,,,,-111.908934,33.4074294,,,,
,274,2300341686,crossing,,,,,,-111.926503,33.4097547,,,,
,275,2300341851,crossing,,,,,,-111.9263019,33.4203615,,,,
,276,2305982029,,,,,,,-111.9182799,33.4123049,,,,
,277,2305982037,,,,,,,-111.9162827,33.4112033,,,,
,278,2305982038,,,,,,,-111.9161795,33.4114003,,,,
,279,2305982039,,,,,,,-111.91602,33.4111981,,,,
,280,2305982040,,,,,,,-111.9159564,33.4113072,,,,
,281,2305982041,,,,,,,-111.9157539,33.4111926,,,,
,282,2321431315,,,,,,,-111.9366517,33.4212922,,,,
,283,2321431354,,,,,,,-111.9366784,33.4212889,,,,
,284,2625358988,,,,,,,-111.9381424,33.4149982,,,,
,286,2625358998,,,,,,,-111.9398348,33.4170325,,,,
,287,2625359002,,,,,,,-111.9398439,33.4174549,,,,
,288,2625359004,,,,,,,-111.9398468,33.4176189,,,,
,295,2625359019,,,,,,,-111.9395019,33.4273825,,,,
,298,2626242343,,,,,,,-111.9211598,33.4292573,,,,
,299,2626242355,,,,,,,-111.9196278,33.4301419,,,,
,300,2626242358,,,,,,,-111.918223,33.4304339,,,,
,301,2626242368,,,,,,,-111.9173182,33.4309518,,,,
,302,2626242375,,,,,,,-111.9165191,33.4304935,,,,
,303,2626242376,,,,,,,-111.9159098,33.4313742,,,,
,304,2626664037,,,,,,,-111.9376334,33.4243567,,,,
,305,2671959118,,,,,,,-111.9289501,33.4212297,,,,
,306,2671959143,traffic_signals,,signal,,,,-111.9263008,33.4202837,,,,
,308,2704829949,,,,,,,-111.9262331,33.4228357,,,,
,309,2704829953,,,,,,,-111.9262287,33.4233394,,,,
,310,2704829954,,,,,,,-111.9258887,33.4233401,,,,
,311,2704829964,,,,,,,-111.9263882,33.4238834,,,,
,313,2704829974,,,,,,,-111.9262833,33.4283177,,,,
,315,2714317919,,,,,,,-111.9297937,33.4287965,,,,
,317,2714317933,,,,,,,-111.9239819,33.4289759,,,,
,318,2714317936,traffic_signals,,signal,,,,-111.9312478,33.4291369,,,,
,319,2714317943,,,,,,,-111.9425485,33.4291402,,,,
,320,2714317948,,,,,,,-111.911908,33.4292497,,,,
,321,2714317949,,,,,,,-111.9232919,33.4292614,,,,
,322,2714317956,,,,,,,-111.917341,33.4293282,,,,
,324,2714317961,,,,,,,-111.9126336,33.4293372,,,,
,326,2714317963,,,,,,,-111.9196471,33.4293489,,,,
,327,2714317971,,,,,,,-111.9211588,33.4293611,,,,
,328,2714317975,,,,,,,-111.9428674,33.4293722,,,,
,329,2714317978,,,,,,,-111.9081933,33.4293742,,,,
,330,2714317987,,,,,,,-111.9426236,33.4294744,,,,
,331,2714317997,,,,,,,-111.9322313,33.4294306,,,,
,332,2714318003,,,,,,,-111.941344,33.4294485,,,,
,333,2714318007,traffic_signals,,signal,,,,-111.934056,33.4294897,,,,
,334,2714318017,,,,,,,-111.9409154,33.429599,,,,
,335,2714318018,traffic_signals,,signal,,,,-111.9339783,33.4296433,,,,
,338,2714318026,,,,,,,-111.9343207,33.4298487,,,,
,339,2714318030,,,,,,,-111.9349285,33.4300573,,,,
,340,2714318034,,,,,,,-111.9350596,33.4303286,,,,
,341,2714318037,traffic_signals,,signal,,,,-111.9374158,33.430404,,,,
,342,2714318042,traffic_signals,,signal,,,,-111.9374938,33.4305413,,,,
,343,2714318044,,,,,,,-111.9357552,33.4306078,,,,
,344,2819230452,traffic_signals,,signal,,,,-111.9091141,33.4146219,,,,
,345,2822050828,crossing,,,,,,-111.9090932,33.4218349,,,,
,346,2822050829,crossing,,,,,,-111.926407,33.4218739,,,,
,347,2822050830,crossing,,,,,,-111.9262412,33.421881,,,,
,350,2916726377,,,,,,,-111.936754,33.421991,,,,
,353,2978013673,,,,,,,-111.9275425,33.4220137,,,,
,354,2978047866,,,,,,,-111.9248832,33.4220294,,,,
,356,3101265422,,,,,,,-111.9434283,33.4295304,,,,
,357,3101265424,,,,,,,-111.9399748,33.4301976,,,,
,358,3101265427,,,,,,,-111.9412736,33.4254885,,,,
,359,3101265634,,,,,,,-111.9401264,33.4316795,,,,
,360,3101265641,,,,,,,-111.9412691,33.4243385,,,,
,361,3101265647,,,,,,,-111.9401399,33.4303209,,,,
,362,3248854377,,,,,,,-111.9215725,33.411344,,,,
,363,3248854378,,,,,,,-111.920032,33.4113543,,,,
,364,3299517573,,,,,,,-111.9442762,33.426894,,,,
,365,3367301498,,,,,,,-111.9176682,33.4237215,,,,
,366,3458373529,,,,,,,-111.922574,33.4111077,,,,
,367,3458373531,,,,,,,-111.9209422,33.4116865,,,,
,368,3458373537,,,,,,,-111.920949,33.41231,,,,
,369,3458373555,,,,,,,-111.9220805,33.4147096,,,,
,370,3458373557,,,,,,,-111.9220806,33.4148179,,,,
,371,3519311788,,,,,,,-111.9082205,33.4219911,,,,
,372,3519323221,,,,,,,-111.9090248,33.4212419,,,,
,373,3523602070,,,,,,,-111.9091782,33.4211714,,,,
,374,3523602073,,,,,,,-111.9091721,33.4208613,,,,
,375,3590609564,,,,,,,-111.9076465,33.4168535,,,,
,376,3590609565,,,,,,,-111.907664,33.4174947,,,,
,377,3613374067,,,,,,,-111.936617,33.4190938,,,,
,378,3641052711,,,,,,,-111.9364992,33.4074355,,,,
,379,3641512632,,,,,,,-111.9165151,33.4161595,,,,
,380,3641512633,,,,,,,-111.9165031,33.4169307,,,,
,381,3642926131,,,,,,,-111.9164439,33.4157358,,,,
,382,3642940510,,,,,,,-111.938161,33.4254954,,,,
,383,3712803330,,,,,,,-111.9381294,33.4205154,,,,
,384,3719273480,,,,,,,-111.9191579,33.4146605,,,,
,385,3756578325,traffic_signals,,signal,,,,-111.9091135,33.4148353,,,,
,386,3756594462,,,,,,,-111.9133844,33.4148388,,,,
,387,3756594468,traffic_signals,,signal,,,,-111.9136482,33.414836,,,,
,388,3756594471,traffic_signals,,signal,,,,-111.9136957,33.414677,,,,
,389,3872996557,,,,,,,-111.9338232,33.407589,,,,
,390,3872996558,,,,,,,-111.931125,33.4076055,,,,
,391,3872996559,,,,,,,-111.9301212,33.4076111,,,,
,392,3872996560,,,,,,,-111.9269827,33.4076415,,,,
,393,3983274586,,,,,,,-111.9154572,33.4075088,,,,
,394,3983274697,,,,,,,-111.9177031,33.4071744,,,,
,395,3983456159,,,,,,,-111.9343732,33.4074544,,,,
,396,3983456162,,,,,,,-111.9338336,33.4073034,,,,
,397,3983456179,,,,,,,-111.9305895,33.4076081,,,,
,398,3983456208,,,,,,,-111.9350228,33.4107541,,,,
,399,3983463695,,,,,,,-111.9346152,33.4096628,,,,
,400,3983463698,,,,,,,-111.934915,33.4093789,,,,
,401,3983463704,,,,,,,-111.9348914,33.4096614,,,,
,402,3983463705,,,,,,,-111.9349415,33.409658,,,,
,403,3983463708,,,,,,,-111.9352728,33.4095791,,,,
,404,3983463711,,,,,,,-111.9349406,33.4096046,,,,
,405,3983463712,,,,,,,-111.9348907,33.4096079,,,,
,406,3983465565,,,,,,,-111.9433255,33.4073787,,,,
,407,3983483037,,,,,,,-111.9399239,33.411432,,,,
,408,3983483042,,,,,,,-111.9397375,33.4128425,,,,
,409,3983483050,,,,,,,-111.9365803,33.4129111,,,,
,410,3983483055,,,,,,,-111.9379608,33.4128944,,,,
,411,3983483484,,,,,,,-111.9391606,33.4145063,,,,
,412,3983483485,,,,,,,-111.9397601,33.4074084,,,,
,413,3983483486,,,,,,,-111.9397789,33.4086629,,,,
,414,3983483489,,,,,,,-111.9398073,33.4114264,,,,
,415,3983483490,,,,,,,-111.9398827,33.4125946,,,,
,416,3983483491,,,,,,,-111.9398081,33.4067486,,,,
,417,3983483492,,,,,,,-111.9397885,33.4106036,,,,
,418,3983483499,,,,,,,-111.939166,33.4147167,,,,
,419,3983489070,,,,,,,-111.9399036,33.4106076,,,,
,420,3983489075,,,,,,,-111.9396664,33.4111275,,,,
,421,4084510561,,,,,,,-111.91123,33.4075712,,,,
,424,4084510566,,,,,,,-111.9237216,33.4075795,,,,
,426,4084510568,,,,,,,-111.9132484,33.4075751,,,,
,427,4084510569,traffic_signals,,signal,,,,-111.9226118,33.4075789,,,,
,428,4084525371,traffic_signals,,signal,,,,-111.9226148,33.4074455,,,,
,429,4084525373,,,,,,,-111.9236803,33.4074433,,,,
,430,4084525374,,,,,,,-111.9209405,33.4074439,,,,
,431,4084525376,traffic_signals,,signal,,,,-111.926277,33.4075074,,,,
,432,4084526282,,,,,,,-111.9154658,33.4074418,,,,
,433,4084526285,,,,,,,-111.9154379,33.4075755,,,,
,434,4084527689,,,,,,,-111.9132485,33.4074407,,,,
,435,4084529110,,,,,,,-111.911231,33.4074387,,,,
,436,4277534305,traffic_signals,,signal,,,,-111.9312927,33.4290308,,,,
,437,4346521648,,,,,,,-111.9409696,33.4323251,,,,
,438,4346523219,,,,,,,-111.9430423,33.429831,,,,
,439,4346523220,,,,,,,-111.9405747,33.431551,,,,
,440,4346569400,,,,,,,-111.9398834,33.4126638,,,,
,441,4346569402,,,,,,,-111.9399016,33.4142825,,,,
,442,4346569403,,,,,,,-111.939969,33.4151097,,,,
,443,4346571424,,,,,,,-111.9186464,33.4146574,,,,
,444,4346571425,,,,,,,-111.9133779,33.4146776,,,,
,445,4346571426,,,,,,,-111.9105903,33.4147002,,,,
,446,4346571427,,,,,,,-111.9212488,33.4147092,,,,
,447,4346571428,,,,,,,-111.9189923,33.4148614,,,,
,448,4346575408,,,,,,,-111.9370216,33.4146084,,,,
,449,4346575409,,,,,,,-111.9335205,33.4146455,,,,
,450,4346575410,,,,,,,-111.9314439,33.4146642,,,,
,451,4346575411,,,,,,,-111.926748,33.414692,,,,
,452,4346575412,,,,,,,-111.9361331,33.4147441,,,,
,453,4346575413,,,,,,,-111.9342173,33.4147571,,,,
,454,4346575414,,,,,,,-111.9322177,33.4147716,,,,
,455,4346575415,,,,,,,-111.9300149,33.4147941,,,,
,456,4346575416,,,,,,,-111.9258763,33.414841,,,,
,457,4346575417,,,,,,,-111.9400269,33.417428,,,,
,458,4346577513,,,,,,,-111.9398502,33.4186881,,,,
,459,4346577514,,,,,,,-111.9398505,33.4187373,,,,
,460,4346577515,,,,,,,-111.9398606,33.4193366,,,,
,461,4346577516,,,,,,,-111.9400338,33.4194368,,,,
,462,4346577517,,,,,,,-111.9398661,33.4195538,,,,
,463,4346577518,,,,,,,-111.9398665,33.419777,,,,
,464,4346577519,,,,,,,-111.9398722,33.4200156,,,,
,465,4346577520,,,,,,,-111.9398812,33.4202361,,,,
,466,4346577521,,,,,,,-111.939894,33.4211696,,,,
,467,4346577522,,,,,,,-111.9398957,33.4212893,,,,
,468,4346581618,,,,,,,-111.9400741,33.4225274,,,,
,469,4346581619,,,,,,,-111.9400646,33.4234469,,,,
,470,4346581620,,,,,,,-111.9399588,33.4240116,,,,
,471,4346581621,,,,,,,-111.9400789,33.424691,,,,
,472,4346581622,,,,,,,-111.939958,33.4251292,,,,
,473,4346581623,,,,,,,-111.9400785,33.4260353,,,,
,474,4346586751,,,,,,,-111.939954,33.422988,,,,
,475,4346586752,,,,,,,-111.9399637,33.426342,,,,
,476,4346586753,,,,,,,-111.939964,33.4270359,,,,
,477,4346586754,,,,,,,-111.9400691,33.4277606,,,,
,478,4346586755,,,,,,,-111.9399618,33.4281865,,,,
,479,4346586756,,,,,,,-111.9399616,33.4284311,,,,
,480,4346586758,,,,,,,-111.9399832,33.4290713,,,,
,481,4346586759,,,,,,,-111.9399845,33.4292269,,,,
,482,4346605143,,,,,,,-111.9439222,33.4218959,,,,
,483,4346605144,,,,,,,-111.9446584,33.4218949,,,,
,484,4346605146,,,,,,,-111.9453183,33.421897,,,,
,485,4346605153,,,,,,,-111.9428734,33.4219273,,,,
,486,4346605154,,,,,,,-111.9417462,33.4219298,,,,
,487,4346605155,,,,,,,-111.9407478,33.4219322,,,,
,488,4346605156,,,,,,,-111.9407002,33.4219284,,,,
,489,4346605157,,,,,,,-111.9390184,33.4219833,,,,
,490,4346605158,,,,,,,-111.9100774,33.421985,,,,
,491,4346605159,,,,,,,-111.9102088,33.4219858,,,,
,492,4346605160,,,,,,,-111.9273877,33.4220144,,,,
,493,4346605161,,,,,,,-111.9295985,33.4220148,,,,
,494,4346605162,,,,,,,-111.9171959,33.4220165,,,,
,495,4346605163,,,,,,,-111.9285987,33.4220169,,,,
,496,4346605164,,,,,,,-111.9271825,33.4220171,,,,
,497,4346605165,,,,,,,-111.9181401,33.4220184,,,,
,498,4346605166,,,,,,,-111.9254096,33.4220303,,,,
,499,4346605167,,,,,,,-111.9401286,33.4302061,,,,
,500,4346611232,,,,,,,-111.9272141,33.4288263,,,,
,501,4346611233,,,,,,,-111.9253831,33.4288338,,,,
