signal_phase_mvmt_id,controller_id,timing_phase_id,signal_phase_num,timing_plan_id,mvmt_id,ib_link_id,ob_link_id,protection
0,,1,2,0,0,728,730,Null
1,,1,3,0,1,728,805,Null
2,,1,4,0,3,731,805,Permissive
3,,1,5,0,2,731,729,Null
4,,2,7,0,4,804,729,Protected
5,,2,9,0,5,804,730,Null
0,,1,1,0,7,218,440,Permissive
1,,1,2,0,8,218,441,Null
2,,1,3,0,6,218,329,Null
3,,1,4,0,16,841,329,Permissive
4,,1,5,0,15,841,217,Null
5,,1,6,0,17,841,440,Null
6,,2,7,0,9,330,217,Permissive
7,,2,8,0,10,330,440,Null
8,,2,9,0,11,330,441,Null
9,,2,10,0,14,439,441,Permissive
10,,2,11,0,13,439,329,Null
11,,2,12,0,12,439,217,Null
0,,3,1,0,18,175,330,Protected
1,,3,3,0,19,175,331,Null
2,,1,7,0,22,332,174,Permissive
3,,2,8,0,23,332,330,Null
4,,2,11,0,21,329,331,Null
5,,2,12,0,20,329,174,Null
0,,3,1,0,24,97,332,Protected
1,,3,3,0,25,97,333,Null
2,,1,7,0,28,334,96,Permissive
3,,2,8,0,29,334,332,Null
4,,2,11,0,27,331,333,Null
5,,2,12,0,26,331,96,Null
0,,1,1,0,39,533,334,Permissive
1,,1,2,0,41,533,531,Null
2,,1,3,0,40,533,335,Null
3,,1,4,0,37,530,335,Permissive
4,,1,5,0,38,530,532,Null
5,,1,6,0,36,530,334,Null
6,,2,7,0,35,336,532,Permissive
7,,2,8,0,33,336,334,Null
8,,2,9,0,34,336,531,Null
9,,2,10,0,31,333,531,Permissive
10,,2,11,0,30,333,335,Null
11,,2,12,0,32,333,532,Null
0,,3,1,0,42,206,336,Protected
1,,3,3,0,43,206,337,Null
2,,1,7,0,46,338,205,Permissive
3,,2,8,0,47,338,336,Null
4,,2,11,0,45,335,337,Null
5,,2,12,0,44,335,205,Null
0,,3,4,0,53,822,339,Protected
1,,3,6,0,52,822,338,Null
2,,2,8,0,50,340,338,Null
3,,2,9,0,51,340,823,Null
4,,1,10,0,49,337,823,Permissive
5,,2,11,0,48,337,339,Null
0,,3,1,0,54,73,340,Protected
1,,3,3,0,55,73,341,Null
2,,1,7,0,58,342,72,Permissive
3,,2,8,0,59,342,340,Null
4,,2,11,0,57,339,341,Null
5,,2,12,0,56,339,72,Null
0,,3,4,0,61,78,343,Protected
1,,3,6,0,60,78,342,Null
2,,2,8,0,65,344,342,Null
3,,2,9,0,64,344,79,Null
4,,1,10,0,62,341,79,Permissive
5,,2,11,0,63,341,343,Null
0,,3,1,0,66,224,344,Protected
1,,3,3,0,67,224,345,Null
2,,1,7,0,70,346,223,Permissive
3,,2,8,0,71,346,344,Null
4,,2,11,0,69,343,345,Null
5,,2,12,0,68,343,223,Null
0,,3,1,0,72,147,346,Protected
1,,3,3,0,73,147,347,Null
2,,1,7,0,76,348,146,Permissive
3,,2,8,0,77,348,346,Null
4,,2,11,0,75,345,347,Null
5,,2,12,0,74,345,146,Null
0,,3,1,0,78,193,348,Protected
1,,3,3,0,79,193,349,Null
2,,1,7,0,82,350,192,Permissive
3,,2,8,0,83,350,348,Null
4,,2,11,0,81,347,349,Null
5,,2,12,0,80,347,192,Null
0,,1,1,0,87,287,350,Permissive
1,,1,2,0,86,287,285,Null
2,,1,5,0,84,284,286,Null
3,,1,6,0,85,284,350,Null
4,,2,10,0,88,349,285,Protected
5,,2,12,0,89,349,286,Null
0,,1,2,0,95,289,287,Null
1,,1,3,0,94,289,0,Null
2,,1,4,0,92,286,0,Permissive
3,,1,5,0,93,286,288,Null
4,,2,7,0,91,1,288,Protected
5,,2,9,0,90,1,287,Null
0,,3,1,0,100,43,1,Protected
1,,3,3,0,101,43,2,Null
2,,1,7,0,99,3,42,Permissive
3,,2,8,0,98,3,1,Null
4,,2,11,0,96,0,2,Null
5,,2,12,0,97,0,42,Null
0,,3,1,0,106,59,3,Protected
1,,3,3,0,107,59,4,Null
2,,1,7,0,105,5,58,Permissive
3,,2,8,0,104,5,3,Null
4,,2,11,0,102,2,4,Null
5,,2,12,0,103,2,58,Null
0,,1,1,0,117,83,5,Permissive
1,,1,2,0,119,83,81,Null
2,,1,3,0,118,83,6,Null
3,,1,4,0,115,80,6,Permissive
4,,1,5,0,116,80,82,Null
5,,1,6,0,114,80,5,Null
6,,2,7,0,113,7,82,Permissive
7,,2,8,0,111,7,5,Null
8,,2,9,0,112,7,81,Null
9,,2,10,0,109,4,81,Permissive
10,,2,11,0,108,4,6,Null
11,,2,12,0,110,4,82,Null
0,,3,1,0,124,204,7,Protected
1,,3,3,0,125,204,8,Null
2,,1,7,0,123,9,203,Permissive
3,,2,8,0,122,9,7,Null
4,,2,11,0,120,6,8,Null
5,,2,12,0,121,6,203,Null
0,,3,1,0,130,226,9,Protected
1,,3,3,0,131,226,10,Null
2,,1,7,0,129,11,225,Permissive
3,,2,8,0,128,11,9,Null
4,,2,11,0,126,8,10,Null
5,,2,12,0,127,8,225,Null
0,,1,1,0,136,716,12,Permissive
1,,1,2,0,137,716,267,Null
2,,1,5,0,135,268,270,Null
3,,1,6,0,134,268,12,Null
4,,2,10,0,132,13,267,Protected
5,,2,12,0,133,13,270,Null
0,,1,1,0,139,14,124,Permissive
1,,1,2,0,140,14,728,Null
2,,1,5,0,143,729,15,Null
3,,1,6,0,144,729,124,Null
4,,2,10,0,142,125,728,Protected
5,,2,12,0,141,125,15,Null
0,,1,1,0,146,18,292,Permissive
1,,1,2,0,145,18,20,Null
2,,1,3,0,147,18,293,Null
3,,1,4,0,150,21,293,Permissive
4,,1,5,0,148,21,19,Null
5,,1,6,0,149,21,292,Null
6,,2,7,0,154,294,19,Permissive
