oms_node_id,time_window,time_interval,travel_time_delta,capacity,v_over_c,cycle_no,cycle_length,green_time,red_time,stage,movement_str,geometry
41459438,070000_070012,None,None,885.3198653198652,0.2259070510382597,0,25,12,13,1,EBT,"LINESTRING (-111.9290798 33.4242989, -111.9275146 33.4245016, -111.9263026 33.4245036)"
41459438,070000_070012,None,None,885.3198653198652,0.2259070510382597,0,25,12,13,1,EBR,"LINESTRING (-111.9290798 33.4242989, -111.9275146 33.4245016, -111.9278751 33.4233106)"
41459438,070000_070012,None,None,604.9079618036833,0.3306288107097323,0,25,12,13,1,WBL,"LINESTRING (-111.9263026 33.4245036, -111.9275146 33.4245016, -111.9278751 33.4233106)"
41459438,070000_070012,None,None,885.3198653198652,0.2259070510382597,0,25,12,13,1,WBT,"LINESTRING (-111.9263026 33.4245036, -111.9275146 33.4245016, -111.9290798 33.4242989)"
41459438,070012_070019,None,None,502.8198653198653,0.3977567590190006,0,25,6,19,2,NBL,"LINESTRING (-111.9278751 33.4233106, -111.9275146 33.4245016, -111.9290798 33.4242989)"
41459438,070012_070019,None,None,502.8198653198653,0.3977567590190006,0,25,6,19,2,NBR,"LINESTRING (-111.9278751 33.4233106, -111.9275146 33.4245016, -111.9263026 33.4245036)"
41520512,070000_070019,None,None,576.9964768771481,0.34662256706046274,0,38,19,19,1,EBL,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.9442762 33.426894)"
41520512,070000_070019,None,None,844.469696969697,0.23683502287611016,0,38,19,19,1,EBT,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.943347 33.4254811)"
41520512,070000_070019,None,None,844.469696969697,0.23683502287611016,0,38,19,19,1,EBR,"LINESTRING (-111.9446 33.425474, -111.9442814 33.4254737, -111.9443033 33.4243197)"
41520512,070000_070019,None,None,576.9964768771481,0.34662256706046274,0,38,19,19,1,WBL,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9443033 33.4243197)"
41520512,070000_070019,None,None,844.469696969697,0.23683502287611016,0,38,19,19,1,WBT,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9446 33.425474)"
41520512,070000_070019,None,None,844.469696969697,0.23683502287611016,0,38,19,19,1,WBR,"LINESTRING (-111.943347 33.4254811, -111.9442814 33.4254737, -111.9442762 33.426894)"
41520512,070019_070038,None,None,576.9964768771481,0.34662256706046274,0,38,19,19,2,NBL,"LINESTRING (-111.9443033 33.4243197, -111.9442814 33.4254737, -111.9446 33.425474)"
