mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,movement_str,geometry,volume,free_speed
34,3,83542108,,481,1,,156,1,,1,83542109,83657047,left,,,,WBL,"LINESTRING (-111.8854299 40.7335299, -111.8867339 40.7335329, -111.8867521 40.7322479)"
35,3,83542108,,481,1,,479,1,,1,83542109,2175883100,thru,,,,WBT,"LINESTRING (-111.8854299 40.7335299, -111.8867339 40.7335329, -111.8874457 40.7335316)"
36,4,83542109,,165,1,,481,1,,1,1525109290,83542108,right,,,,SBR,"LINESTRING (-111.8854255 40.7340272, -111.8854299 40.7335299, -111.8867339 40.7335329)"
37,4,83542109,,165,1,,558,1,,1,1525109290,83657049,thru,,,,SBT,"LINESTRING (-111.8854255 40.7340272, -111.8854299 40.7335299, -111.8854364 40.732254)"
38,4,83542109,,165,1,,566,1,,1,1525109290,83542110,left,,,,SBL,"LINESTRING (-111.8854255 40.7340272, -111.8854299 40.7335299, -111.8844134 40.7335167)"
39,4,83542109,,480,1,,166,1,,1,83542108,1525109290,left,,,,EBL,"LINESTRING (-111.8867339 40.7335329, -111.8854299 40.7335299, -111.8854255 40.7340272)"
40,4,83542109,,480,1,,558,1,,1,83542108,83657049,right,,,,EBR,"LINESTRING (-111.8867339 40.7335329, -111.8854299 40.7335299, -111.8854364 40.732254)"
41,4,83542109,,480,1,,566,1,,1,83542108,83542110,thru,,,,EBT,"LINESTRING (-111.8867339 40.7335329, -111.8854299 40.7335299, -111.8844134 40.7335167)"
42,4,83542109,,559,1,,166,1,,1,83657049,1525109290,thru,,,,NBT,"LINESTRING (-111.8854364 40.732254, -111.8854299 40.7335299, -111.8854255 40.7340272)"
43,4,83542109,,559,1,,481,1,,1,83657049,83542108,left,,,,NBL,"LINESTRING (-111.8854364 40.732254, -111.8854299 40.7335299, -111.8867339 40.7335329)"
44,4,83542109,,559,1,,566,1,,1,83657049,83542110,right,,,,NBR,"LINESTRING (-111.8854364 40.732254, -111.8854299 40.7335299, -111.8844134 40.7335167)"
45,4,83542109,,567,1,,166,1,,1,83542110,1525109290,right,,,,WBR,"LINESTRING (-111.8844134 40.7335167, -111.8854299 40.7335299, -111.8854255 40.7340272)"
46,4,83542109,,567,1,,481,1,,1,83542110,83542108,thru,,,,WBT,"LINESTRING (-111.8844134 40.7335167, -111.8854299 40.7335299, -111.8867339 40.7335329)"
47,4,83542109,,567,1,,558,1,,1,83542110,83657049,left,,,,WBL,"LINESTRING (-111.8844134 40.7335167, -111.8854299 40.7335299, -111.8854364 40.732254)"
48,5,83542110,,87,1,,567,1,,1,83617937,83542109,left,,,,NBL,"LINESTRING (-111.8844134 40.7327037, -111.8844134 40.7335167, -111.8854299 40.7335299)"
49,5,83542110,,87,1,,568,1,,1,83617937,83542111,right,,,,NBR,"LINESTRING (-111.8844134 40.7327037, -111.8844134 40.7335167, -111.8834864 40.7335291)"
50,5,83542110,,566,1,,86,1,,1,83542109,83617937,right,,,,EBR,"LINESTRING (-111.8854299 40.7335299, -111.8844134 40.7335167, -111.8844134 40.7327037)"
51,5,83542110,,566,1,,568,1,,1,83542109,83542111,thru,,,,EBT,"LINESTRING (-111.8854299 40.7335299, -111.8844134 40.7335167, -111.8834864 40.7335291)"
52,5,83542110,,569,1,,86,1,,1,83542111,83617937,left,,,,WBL,"LINESTRING (-111.8834864 40.7335291, -111.8844134 40.7335167, -111.8844134 40.7327037)"
53,5,83542110,,569,1,,567,1,,1,83542111,83542109,thru,,,,WBT,"LINESTRING (-111.8834864 40.7335291, -111.8844134 40.7335167, -111.8854299 40.7335299)"
54,6,83542111,,194,1,,569,1,,1,83681650,83542110,left,,,,NBL,"LINESTRING (-111.8834805 40.7326721, -111.8834864 40.7335291, -111.8844134 40.7335167)"
55,6,83542111,,194,1,,570,1,,1,83681650,,right,,,,NBR,"LINESTRING (-111.8834805 40.7326721, -111.8834864 40.7335291, -111.883 40.7335245)"
56,6,83542111,,568,1,,193,1,,1,83542110,83681650,right,,,,EBR,"LINESTRING (-111.8844134 40.7335167, -111.8834864 40.7335291, -111.8834805 40.7326721)"
57,6,83542111,,568,1,,570,1,,1,83542110,,thru,,,,EBT,"LINESTRING (-111.8844134 40.7335167, -111.8834864 40.7335291, -111.883 40.7335245)"
58,6,83542111,,571,1,,193,1,,1,,83681650,left,,,,WBL,"LINESTRING (-111.883 40.7335245, -111.8834864 40.7335291, -111.8834805 40.7326721)"
59,6,83542111,,571,1,,569,1,,1,,83542110,thru,,,,WBT,"LINESTRING (-111.883 40.7335245, -111.8834864 40.7335291, -111.8844134 40.7335167)"
60,7,83542603,,3,1,,409,2,,1,83542605,83553440,right,,,,EBR,"LINESTRING (-111.8925671 40.7317637, -111.8911044 40.731763, -111.8911002 40.7314333)"
61,7,83542603,,3,1,,410,1,,1,83542605,83542105,left,,,,EBL,"LINESTRING (-111.8925671 40.7317637, -111.8911044 40.731763, -111.8910707 40.7335109)"
62,7,83542603,,408,1,,2,1,,1,83553440,83542605,left,,,,NBL,"LINESTRING (-111.8911002 40.7314333, -111.8911044 40.731763, -111.8925671 40.7317637)"
63,7,83542603,,408,2,,410,2,,1,83553440,83542105,thru,,,,NBT,"LINESTRING (-111.8911002 40.7314333, -111.8911044 40.731763, -111.8910707 40.7335109)"
64,7,83542603,,411,2,,2,1,,1,83542105,83542605,right,,,,SBR,"LINESTRING (-111.8910707 40.7335109, -111.8911044 40.731763, -111.8925671 40.7317637)"
65,7,83542603,,411,1,,409,1,,1,83542105,83553440,thru,,,,SBT,"LINESTRING (-111.8910707 40.7335109, -111.8911044 40.731763, -111.8911002 40.7314333)"
66,8,83542605,,2,1,,4,1,,1,83542603,,thru,,,,WBT,"LINESTRING (-111.8911044 40.731763, -111.8925671 40.7317637, -111.8933 40.7317678)"
67,8,83542605,,2,1,,268,1,,1,83542603,83681288,right,,,,WBR,"LINESTRING (-111.8911044 40.731763, -111.8925671 40.7317637, -111.8926011 40.733514)"
68,8,83542605,,5,1,,3,1,,1,,83542603,thru,,,,EBT,"LINESTRING (-111.8933 40.7317678, -111.8925671 40.7317637, -111.8911044 40.731763)"
69,8,83542605,,5,1,,268,1,,1,,83681288,left,,,,EBL,"LINESTRING (-111.8933 40.7317678, -111.8925671 40.7317637, -111.8926011 40.733514)"
70,8,83542605,,267,1,,3,1,,1,83681288,83542603,left,,,,SBL,"LINESTRING (-111.8926011 40.733514, -111.8925671 40.7317637, -111.8911044 40.731763)"
71,8,83542605,,267,1,,4,1,,1,83681288,,right,,,,SBR,"LINESTRING (-111.8926011 40.733514, -111.8925671 40.7317637, -111.8933 40.7317678)"
72,10,83547445,,511,1,,513,1,,1,1615680901,83659817,thru,,,,SBT,"LINESTRING (-111.8853566 40.7595606, -111.8853472 40.7584578, -111.8853711 40.7562993)"
73,10,83547445,,511,2,,607,3,,1,1615680901,83547443;3529416913,right,,,,SBR,"LINESTRING (-111.8853566 40.7595606, -111.8853472 40.7584578, -111.8882508 40.7584687)"
74,10,83547445,,514,2,,512,2,,1,83659817,1615680901,thru,,,,NBT,"LINESTRING (-111.8853711 40.7562993, -111.8853472 40.7584578, -111.8853566 40.7595606)"
75,10,83547445,,514,1,,607,1,,1,83659817,83547443;3529416913,left,,,,NBL,"LINESTRING (-111.8853711 40.7562993, -111.8853472 40.7584578, -111.8882508 40.7584687)"
76,10,83547445,,606,3,,512,2,,1,,1615680901,right,,,,WBR,"LINESTRING (-111.883 40.7584808, -111.8853472 40.7584578, -111.8853566 40.7595606)"
77,10,83547445,,606,1,,513,1,,1,,83659817,left,,,,WBL,"LINESTRING (-111.883 40.7584808, -111.8853472 40.7584578, -111.8853711 40.7562993)"
78,10,83547445,,606,2,,607,3,,1,,83547443;3529416913,thru,,,,WBT,"LINESTRING (-111.883 40.7584808, -111.8853472 40.7584578, -111.8882508 40.7584687)"
79,11,83548113,,7,1,,243,1,,1,83548119,83704151,thru,,,,WBT,"LINESTRING (-111.8883125 40.7448553, -111.8910368 40.7448384, -111.8925836 40.7448317)"
80,11,83548113,,7,1,,444,1,,1,83548119,83553451,left,,,,WBL,"LINESTRING (-111.8883125 40.7448553, -111.8910368 40.7448384, -111.891042 40.7432861)"
81,11,83548113,,7,1,,445,2,,1,83548119,83551130,right,,,,WBR,"LINESTRING (-111.8883125 40.7448553, -111.8910368 40.7448384, -111.891042 40.7464269)"
82,11,83548113,,244,1,,6,1,,1,83704151,83548119,thru,,,,EBT,"LINESTRING (-111.8925836 40.7448317, -111.8910368 40.7448384, -111.8883125 40.7448553)"
83,11,83548113,,244,1,,444,2,,1,83704151,83553451,right,,,,EBR,"LINESTRING (-111.8925836 40.7448317, -111.8910368 40.7448384, -111.891042 40.7432861)"
84,11,83548113,,244,1,,445,1,,1,83704151,83551130,left,,,,EBL,"LINESTRING (-111.8925836 40.7448317, -111.8910368 40.7448384, -111.891042 40.7464269)"
