timing_phase_id,node_id,timing_plan_id,phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance
1,1966,1,2,10,53,2.3,6.1,5,24
1,1966,1,3,5,15,1.5,6,,
1,1966,1,4,10,40,2.3,6.1,5,34
1,1966,1,6,10,53,2.3,6.1,5,41
1,1966,1,7,5,7,2.3,6.1,,
1,1966,1,8,10,43,1.5,6,5,38
