mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,movement_str,geometry,volume,free_speed
14214,1966,2704829948;5013837645,,874,4,,1126,3,,1,4346605164,2822050829,right,,,signal,EBR,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9264072749496 33.42195576677923)",106,
14215,1966,2704829948;5013837645,,874,2,3,876,1,2,2,4346605164,4346605166,thru,,,signal,EBT,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9261566859385 33.42203070294214)",303,
14216,1966,2704829948;5013837645,,874,1,,1042,1,,1,4346605164,2704829949,left,,,signal,EBL,"LINESTRING (-111.9264933066724 33.42202626192582, -111.9262415646975 33.42210098561003)",83,
14217,1966,2704829948;5013837645,,1016,5,,875,2,,1,4347879983,4346605164,right,,,signal,SBR,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9264933066724 33.42202626192582)",178,
14218,1966,2704829948;5013837645,,1016,4,,1126,3,,1,4347879983,2822050829,thru,,,signal,SBT,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9264072749496 33.42195576677923)",656,
14219,1966,2704829948;5013837645,,1016,2,3,876,1,2,2,4347879983,4346605166,left,,,signal,SBL,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9261566859385 33.42203070294214)",107,
14220,1966,2704829948;5013837645,,1016,1,,1042,1,,1,4347879983,2704829949,uturn,,,signal,SBU,"LINESTRING (-111.9264079164864 33.42210008105089, -111.9262415646975 33.42210098561003)",0,
14221,1966,2704829948;5013837645,,877,2,3,875,1,2,2,4346605166,4346605164,thru,,,signal,WBT,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9264933066724 33.42202626192582)",789,
14222,1966,2704829948;5013837645,,877,1,,1126,1,,1,4346605166,2822050829,left,,,signal,WBL,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9264072749496 33.42195576677923)",166,
14223,1966,2704829948;5013837645,,877,5,,1042,3,,1,4346605166,2704829949,right,,,signal,WBR,"LINESTRING (-111.9261566859385 33.42203070294214, -111.9262415646975 33.42210098561003)",237,
14224,1966,2704829948;5013837645,,1127,2,3,875,1,2,2,2822050830,4346605164,left,,,signal,NBL,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9264933066724 33.42202626192582)",290,
14225,1966,2704829948;5013837645,,1127,1,,1126,1,,1,2822050830,2822050829,uturn,,,signal,NBU,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9264072749496 33.42195576677923)",0,
14226,1966,2704829948;5013837645,,1127,5,,876,2,,1,2822050830,4346605166,right,,,signal,NBR,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9261566859385 33.42203070294214)",152,
14227,1966,2704829948;5013837645,,1127,4,,1042,3,,1,2822050830,2704829949,thru,,,signal,NBT,"LINESTRING (-111.9262421786933 33.42195667708921, -111.9262415646975 33.42210098561003)",1098,
